"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"4",20,20,7,"highest","centclos",150,0.616528920649615,0.0706535381728782
"4",20,20,7,"highest","centeigen",150,0.620625101957866,0.0718290328208064
"4",20,20,7,"highest","cluscoeff",150,0.634402123261789,0.0521664771473333
"4",20,20,7,"highest","degree",150,0.596085541367997,0.0480561218118954
"4",20,20,7,"lowest","centbet",150,0.647404466743136,0.0498584564530523
"4",20,20,7,"lowest","centclos",150,0.645791679093678,0.0747082114507418
"4",20,20,7,"lowest","centeigen",150,0.645999486887662,0.0779034504468899
"4",20,20,7,"lowest","cluscoeff",150,0.631574444742809,0.0536468051170733
"4",20,20,7,"lowest","degree",150,0.646399000516332,0.0485676193671607
"4",20,20,7,"random","none",150,0.637712918214524,0.0533561697957611
"5",0,0,NA,"none","none",150,0.0987741909779917,0.0411352476353776
"5",0,20,7,"highest","centbet",150,0.0718702280605303,0.0313524896564978
"5",0,20,7,"highest","centclos",150,0.076405583651612,0.0360816396319453
"5",0,20,7,"highest","centeigen",150,0.0786094279014686,0.0380584119243762
"5",0,20,7,"highest","cluscoeff",150,0.0830119016520135,0.0361658856027845
"5",0,20,7,"highest","degree",150,0.0702975196385752,0.0310492025663839
"5",0,20,7,"lowest","centbet",150,0.0871700941139284,0.0388232348321169
"5",0,20,7,"lowest","centclos",150,0.0875187882220349,0.0403700330666819
"5",0,20,7,"lowest","centeigen",150,0.0867570053306237,0.0420199744700288
"5",0,20,7,"lowest","cluscoeff",150,0.0834718733667921,0.0370313125394449
"5",0,20,7,"lowest","degree",150,0.0873440108571839,0.0370510672890557
"5",0,20,7,"random","none",150,0.0808960076197117,0.035801114907974
"5",5,0,NA,"none","none",150,0.0655406629540263,0.0274798932031997
"5",5,20,7,"highest","centbet",150,0.0501684759073928,0.0231845309297316
"5",5,20,7,"highest","centclos",150,0.0541435268501762,0.0262589694998352
"5",5,20,7,"highest","centeigen",150,0.0546390975226827,0.0269685046407195
"5",5,20,7,"highest","cluscoeff",150,0.0567595382641742,0.0260870097937433
"5",5,20,7,"highest","degree",150,0.0517643764458726,0.0239963317892403
"5",5,20,7,"lowest","centbet",150,0.0582841882473875,0.025785702905088
"5",5,20,7,"lowest","centclos",150,0.0594513079790414,0.0284266925860668
"5",5,20,7,"lowest","centeigen",150,0.0596776395233509,0.0289224020769806
