"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","where_bias","level_bias","who_biased","percent_bias","bet_biased","bet_unbiased","clus_biased","clus_unbiased","eigen_biased","eigen_unbiased","clos_biased","close_unbiased","assor_biased","assor_unbiased","deg_biased","deg_unbiased","old_rep_id","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
3305,150,0.0832924430803687,"2.2634451901566",0.56121163781844,0.0241158087482874,0,12.0533333333333,NA,"none","none",0,"<RuntimePrimitiveException>","94.1266666666667","<RuntimePrimitiveException>","0.0832924430803687","<RuntimePrimitiveException>","0.573520397987141","<RuntimePrimitiveException>","0.44316687646552","<RuntimePrimitiveException>","0.924312099515636","<RuntimePrimitiveException>","12.0533333333333",7,0.000141232168094992,2.27666736046701,0.00154775657115978,2.2766814879615,0.00154669314539575,36109.3377483444,9565.04397403198,0.130708989841503,0.0019674777770339,5.22801547135754,0.0268998453630621,5.35761589403973,2.53599256271498,0.00234995140165213,0.0237379500067699
3306,150,0.0757032442961235,"2.25744966442953",0.574756214030471,0.00460296229347616,0,12.1466666666667,NA,"none","none",0,"<RuntimePrimitiveException>","93.6799999999999","<RuntimePrimitiveException>","0.0757032442961235","<RuntimePrimitiveException>","0.527294572111581","<RuntimePrimitiveException>","0.444212380388699","<RuntimePrimitiveException>","0.922239178265714","<RuntimePrimitiveException>","12.1466666666667",1,0.000126678853427175,2.28740447049273,0.0012848423336227,2.28741256294308,0.00128369483447417,36450,9315.84491299383,0.130291779904043,0.00270192594881129,5.55937171541777,0.0181647266548051,8,0,0.00224620126446415,0.018279792915904
3307,150,0.0769286291001192,"2.23337807606264",0.5594525012889,-0.0268998638991686,0,12.52,NA,"none","none",0,"<RuntimePrimitiveException>","91.8866666666667","<RuntimePrimitiveException>","0.0769286291001192","<RuntimePrimitiveException>","0.522029527141747","<RuntimePrimitiveException>","0.448979303548899","<RuntimePrimitiveException>","0.922338188374871","<RuntimePrimitiveException>","12.52",3,0.000106490263111921,2.27397662319479,0.00170700683600852,2.27399162512086,0.00170568365213086,37570,9779.7764210455,0.140136297054512,0.00246157435930109,5.21225343667398,0.0175673480865097,7,0,0.00203709291146754,0.0250659734841094
3308,150,0.0861197393937331,"2.26765100671141",0.573872840886632,-0.000265413277380713,0,12.1066666666667,NA,"none","none",0,"<RuntimePrimitiveException>","94.44","<RuntimePrimitiveException>","0.0861197393937331","<RuntimePrimitiveException>","0.59038186471097","<RuntimePrimitiveException>","0.442340991677502","<RuntimePrimitiveException>","0.933135865558374","<RuntimePrimitiveException>","12.1066666666667",2,0.000135422036777044,2.2713531304446,0.00180964424789239,2.27137032751717,0.0018085252678359,36330,9183.67387115919,0.135848172011385,0.00249342130980817,5.31169143620029,0.0255815771573101,8.88666666666667,0.773180190035921,0.00232129404354942,0.0257851615532224
3309,150,0.0947763775039316,"2.23337807606264",0.593074902240417,-0.071109431607158,0,12.52,NA,"none","none",0,"<RuntimePrimitiveException>","91.8866666666667","<RuntimePrimitiveException>","0.0947763775039316","<RuntimePrimitiveException>","0.546825030140652","<RuntimePrimitiveException>","0.449466694322926","<RuntimePrimitiveException>","0.911036162911609","<RuntimePrimitiveException>","12.52",9,0.000143575042898019,2.26411133301271,0.00161929052770651,2.26413248275617,0.00161683635558639,37570,10868.0184717986,0.146013080342867,0.00251991513846261,5.50551102020676,0.0233901871786045,6,0,0.00237821474578062,0.028901256320727
3310,150,0.0714663532774988,"2.27686800894855",0.548291714108407,-0.0395867619615405,0,11.9333333333333,NA,"none","none",0,"<RuntimePrimitiveException>","95.1266666666667","<RuntimePrimitiveException>","0.0714663532774988","<RuntimePrimitiveException>","0.528752718135308","<RuntimePrimitiveException>","0.440588204693112","<RuntimePrimitiveException>","0.907465662371281","<RuntimePrimitiveException>","11.9333333333333",10,0.000138279213267479,2.27644169295159,0.00138361011624574,2.27645672952664,0.00138275234941033,35810,10005.3676869136,0.127582479702804,0.00244183766369292,5.27287350125045,0.0213722719326608,7.73333333333333,1.00111794333401,0.00233886953197443,0.0230737578423719
3311,150,0.0886798258501044,"2.24984340044743",0.562837935824606,0.0698092938779128,0,12.4,NA,"none","none",0,"<RuntimePrimitiveException>","93.1133333333333","<RuntimePrimitiveException>","0.0886798258501044","<RuntimePrimitiveException>","0.467609032228005","<RuntimePrimitiveException>","0.446150991428611","<RuntimePrimitiveException>","0.914375703764417","<RuntimePrimitiveException>","12.4",11,0.000153177218348162,2.27316915104464,0.00235155282226522,2.27318527711719,0.00235062362531064,37210,10947.0967007009,0.141439539312884,0.00325686395528941,5.86381801341574,0.0251015592527626,10,0,0.00245618161588262,0.0249779433317134
3312,150,0.078270889871509,"2.27463087248322",0.556724704312815,-0.0239125477463404,0,11.9866666666667,NA,"none","none",0,"<RuntimePrimitiveException>","94.96","<RuntimePrimitiveException>","0.078270889871509","<RuntimePrimitiveException>","0.567455627951454","<RuntimePrimitiveException>","0.44109005829866","<RuntimePrimitiveException>","0.919600546793383","<RuntimePrimitiveException>","11.9866666666667",13,0.000129945025792655,2.27003966512055,0.00177598977290284,2.27005762371279,0.00177569090589274,35970,9849.11674573618,0.146894406050626,0.00241010860049192,5.35399940777038,0.0175822764640184,3.02666666666667,0.32659863237109,0.00225860541530765,0.0270036890069098
3313,150,0.0808055404061596,"2.22693512304251",0.560204169841926,0.0341893904255062,0,12.6666666666667,NA,"none","none",0,"<RuntimePrimitiveException>","91.4066666666666","<RuntimePrimitiveException>","0.0808055404061596","<RuntimePrimitiveException>","0.488007398391413","<RuntimePrimitiveException>","0.450451992286094","<RuntimePrimitiveException>","0.927730208147564","<RuntimePrimitiveException>","12.6666666666667",12,0.000134189111376823,2.27480590976589,0.00185328442407161,2.27482033894002,0.00185202179203472,38010,9896.10458241223,0.143136561745913,0.00241852474485339,5.67746373814962,0.021079558287593,6,0,0.00230182249256874,0.024644939190478
3314,150,0.0893587667922032,"2.25154362416107",0.536445125608692,-0.045742561167928,0,12.3333333333333,NA,"none","none",0,"<RuntimePrimitiveException>","93.24","<RuntimePrimitiveException>","0.0893587667922032","<RuntimePrimitiveException>","0.549251387473032","<RuntimePrimitiveException>","0.445735407085405","<RuntimePrimitiveException>","0.907024138354009","<RuntimePrimitiveException>","12.3333333333333",14,0.000131270639879827,2.28519016172454,0.00136853424697597,2.28519970480989,0.00136755639195948,36983.5099337748,10747.369923144,0.124171245554249,0.00159828245444406,5.70042292156526,0.0227792625897428,6.43708609271523,2.4754155447531,0.00228033611848158,0.0192037933856961
