"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"4",5,20,7,"lowest","centeigen",150,0.357959935087592,0.0277937933554453
"4",5,20,7,"lowest","cluscoeff",150,0.34580477685959,0.029172973651289
"4",5,20,7,"lowest","degree",150,0.354536483375787,0.0306965882659614
"4",5,20,7,"random","none",150,0.336169029693252,0.0305161829215716
"4",20,0,NA,"none","none",150,0.701469112459833,0.023589006045961
"4",20,20,7,"highest","centbet",150,0.618425217511961,0.0213532505008865
"4",20,20,7,"highest","centclos",150,0.616427962628821,0.023841768990201
"4",20,20,7,"highest","centeigen",150,0.620535438935547,0.022321032010127
"4",20,20,7,"highest","cluscoeff",150,0.636880360491206,0.021158341219075
"4",20,20,7,"highest","degree",150,0.618163809345574,0.0213330749086062
"4",20,20,7,"lowest","centbet",150,0.648639286488526,0.0216504238191637
"4",20,20,7,"lowest","centclos",150,0.647632596294408,0.0228687611279733
"4",20,20,7,"lowest","centeigen",150,0.648310277347214,0.0227734816045224
"4",20,20,7,"lowest","cluscoeff",150,0.640161666378809,0.0225329377303852
"4",20,20,7,"lowest","degree",150,0.645786804714525,0.0217835061040972
"4",20,20,7,"random","none",150,0.630850591498456,0.0214535056720752
"5",0,0,NA,"none","none",150,0.101718350007425,0.0229811811628036
"5",0,20,7,"highest","centbet",150,0.0772036141087547,0.0159248751103098
"5",0,20,7,"highest","centclos",150,0.0778988777807796,0.0184242436858536
"5",0,20,7,"highest","centeigen",150,0.076409403383353,0.0168044888947896
"5",0,20,7,"highest","cluscoeff",150,0.083519883825148,0.019151276907051
"5",0,20,7,"highest","degree",150,0.0793551588361831,0.0137054200016693
"5",0,20,7,"lowest","centbet",150,0.0834638675849599,0.0174233693216821
"5",0,20,7,"lowest","centclos",150,0.0857783492453062,0.018319290450987
"5",0,20,7,"lowest","centeigen",150,0.0886966182819749,0.0192855719449782
"5",0,20,7,"lowest","cluscoeff",150,0.0839636546662018,0.0178048005193706
"5",0,20,7,"lowest","degree",150,0.0860215118283444,0.0194075201909878
"5",0,20,7,"random","none",150,0.0834996069003037,0.0188050322234589
"5",5,0,NA,"none","none",150,0.0653962466093087,0.0158473673704066
"5",5,20,7,"highest","centbet",150,0.055079261101158,0.0134473987494721
"5",5,20,7,"highest","centclos",150,0.0552246024546945,0.0115848359467986
"5",5,20,7,"highest","centeigen",150,0.0578812093352411,0.0135474690983554
"5",5,20,7,"highest","cluscoeff",150,0.0560773380868867,0.014813799980613
"5",5,20,7,"highest","degree",150,0.053703258639051,0.0138064089506966
"5",5,20,7,"lowest","centbet",150,0.057931842269182,0.0153538564128552
"5",5,20,7,"lowest","centclos",150,0.0595899677106552,0.0135832163432836
"5",5,20,7,"lowest","centeigen",150,0.055544870106765,0.0137248465752272
"5",5,20,7,"lowest","cluscoeff",150,0.0580843733018732,0.0135107536833945
"5",5,20,7,"lowest","degree",150,0.0599322077354624,0.0158467226826898
"5",5,20,7,"random","none",150,0.0570337498226363,0.0143368157939152
"5",20,0,NA,"none","none",150,0.0321376234773808,0.00794226950651059
"5",20,20,7,"highest","centbet",150,0.0289545976511879,0.007704617588952
"5",20,20,7,"highest","centclos",150,0.030230552880099,0.00803129519206128
"5",20,20,7,"highest","centeigen",150,0.0287588036876667,0.0069365385244933
"5",20,20,7,"highest","cluscoeff",150,0.0299409556719862,0.00793527711478992
"5",20,20,7,"highest","degree",150,0.0296506101738717,0.00711820238804256
"5",20,20,7,"lowest","centbet",150,0.0308606306280051,0.00806623528719754
"5",20,20,7,"lowest","centclos",150,0.03121432483998,0.0081096087597623
"5",20,20,7,"lowest","centeigen",150,0.0301010437289127,0.00795033588556918
"5",20,20,7,"lowest","cluscoeff",150,0.0296484717840006,0.00899148880538164
"5",20,20,7,"lowest","degree",150,0.0330208245836249,0.00804600307024277
"5",20,20,7,"random","none",150,0.029700977840755,0.0075713863212483
"6",0,0,NA,"none","none",150,0.0986694013336423,0.0246979385931318
"6",0,20,7,"highest","centbet",150,0.0803459304947394,0.016599297972464
"6",0,20,7,"highest","centclos",150,0.0788229664209924,0.0170926031857091
"6",0,20,7,"highest","centeigen",150,0.0775797241681588,0.0153327880683075
"6",0,20,7,"highest","cluscoeff",150,0.0820361835667079,0.0190774457471347
"6",0,20,7,"highest","degree",150,0.0775918213508436,0.0169654428385144
"6",0,20,7,"lowest","centbet",150,0.0879072363673082,0.0217998971749461
"6",0,20,7,"lowest","centclos",150,0.0863809907153532,0.0209238668502246
"6",0,20,7,"lowest","centeigen",150,0.0845413944737754,0.0187001950148967
"6",0,20,7,"lowest","cluscoeff",150,0.0868405628390174,0.0193791069495703
"6",0,20,7,"lowest","degree",150,0.0865675412118428,0.0214243140019735
"6",0,20,7,"random","none",150,0.0829293069613766,0.0184801092319289
"6",5,0,NA,"none","none",150,0.0684068449369834,0.0151353018684759
"6",5,20,7,"highest","centbet",150,0.0542955788867075,0.0131009350710806
"6",5,20,7,"highest","centclos",150,0.0556899643365072,0.0130948320057578
"6",5,20,7,"highest","centeigen",150,0.0541430148833965,0.0115389163453889
"6",5,20,7,"highest","cluscoeff",150,0.0593154807387145,0.0152966722717911
"6",5,20,7,"highest","degree",150,0.0560065181713601,0.0134907785923818
"6",5,20,7,"lowest","centbet",150,0.0567557877944796,0.0140871880264638
"6",5,20,7,"lowest","centclos",150,0.0598747685302242,0.0146433226898791
"6",5,20,7,"lowest","centeigen",150,0.0589773976895226,0.0141446579121443
"6",5,20,7,"lowest","cluscoeff",150,0.0574100645623671,0.0135636793025519
"6",5,20,7,"lowest","degree",150,0.0568424756166515,0.0159922899558492
"6",5,20,7,"random","none",150,0.0583055166539007,0.0139644520792757
"6",20,0,NA,"none","none",150,0.0334572752863951,0.00835652602423938
"6",20,20,7,"highest","centbet",150,0.0297901554132242,0.00721657340980464
"6",20,20,7,"highest","centclos",150,0.0292582555161249,0.00685400648265363
"6",20,20,7,"highest","centeigen",150,0.0274643605841598,0.00683593836385283
"6",20,20,7,"highest","cluscoeff",150,0.0291786725974604,0.00792872773195638
"6",20,20,7,"highest","degree",150,0.0278050548775371,0.00764152149378947
"6",20,20,7,"lowest","centbet",150,0.0317579522691568,0.00801391755938311
"6",20,20,7,"lowest","centclos",150,0.0308340337401632,0.00920499643880228
"6",20,20,7,"lowest","centeigen",150,0.030767836221196,0.0077071678655718
"6",20,20,7,"lowest","cluscoeff",150,0.0288378029266608,0.00769522976425572
"6",20,20,7,"lowest","degree",150,0.0310319262946386,0.00882308645493996
"6",20,20,7,"random","none",150,0.030347462368876,0.00830699740923546
"7",0,0,NA,"none","none",150,0.10195419734085,0.0207633318881388
"7",0,20,7,"highest","centbet",150,0.303435259793629,0.0252067030321361
"7",0,20,7,"highest","centclos",150,0.301155879684231,0.0331024091262139
"7",0,20,7,"highest","centeigen",150,0.298574735258772,0.0270907981242079
"7",0,20,7,"highest","cluscoeff",150,0.253084396895145,0.0275992465387161
"7",0,20,7,"highest","degree",150,0.299059886838555,0.028641683957044
"7",0,20,7,"lowest","centbet",150,0.225856472566741,0.027009587692464
"7",0,20,7,"lowest","centclos",150,0.223682589289303,0.0256077071352027
"7",0,20,7,"lowest","centeigen",150,0.221978160433802,0.0255291077270264
"7",0,20,7,"lowest","cluscoeff",150,0.249157902757591,0.0333082506926183
"7",0,20,7,"lowest","degree",150,0.219197763229831,0.0243279149998287
"7",0,20,7,"random","none",150,0.268359970410628,0.0254947114994571
"7",5,0,NA,"none","none",150,0.0688380048073793,0.0154020359922946
"7",5,20,7,"highest","centbet",150,0.231428482790577,0.024035922693539
"7",5,20,7,"highest","centclos",150,0.23526799560907,0.0222873165494628
"7",5,20,7,"highest","centeigen",150,0.230012580410634,0.0226688920740542
"7",5,20,7,"highest","cluscoeff",150,0.2008019130574,0.0232066050412047
"7",5,20,7,"highest","degree",150,0.233096869365085,0.0259796824141567
"7",5,20,7,"lowest","centbet",150,0.17530210329132,0.0191312445674204
"7",5,20,7,"lowest","centclos",150,0.172728890278661,0.0189052929924338
"7",5,20,7,"lowest","centeigen",150,0.170144399650791,0.019057378673159
"7",5,20,7,"lowest","cluscoeff",150,0.196154795369298,0.022415606023558
"7",5,20,7,"lowest","degree",150,0.175341107310156,0.0189852604983446
"7",5,20,7,"random","none",150,0.20641191213929,0.0225488977280025
"7",20,0,NA,"none","none",150,0.0343357791229698,0.00885904259285464
"7",20,20,7,"highest","centbet",150,0.144817194811797,0.0151433237022273
"7",20,20,7,"highest","centclos",150,0.144738555667441,0.0162383529144483
"7",20,20,7,"highest","centeigen",150,0.143297207123894,0.0153335408414367
"7",20,20,7,"highest","cluscoeff",150,0.120596264066564,0.0149696166829004
"7",20,20,7,"highest","degree",150,0.143395079827736,0.0175668036550951
"7",20,20,7,"lowest","centbet",150,0.106066276082105,0.0129680173336346
"7",20,20,7,"lowest","centclos",150,0.104974863042889,0.0151011756926345
"7",20,20,7,"lowest","centeigen",150,0.105761867498422,0.0128143106323901
"7",20,20,7,"lowest","cluscoeff",150,0.118557192948848,0.0121075619479509
"7",20,20,7,"lowest","degree",150,0.103817280377208,0.0145841111646913
"7",20,20,7,"random","none",150,0.127859386384158,0.0156546446018904
"8",0,0,NA,"none","none",150,0.100188261222268,0.0234021885271251
"8",0,20,7,"highest","centbet",150,0.0775089687451984,0.0151091620414737
"8",0,20,7,"highest","centclos",150,0.0784955583335643,0.0176712134587421
"8",0,20,7,"highest","centeigen",150,0.0772597202977166,0.0151027777382789
"8",0,20,7,"highest","cluscoeff",150,0.0833565252109549,0.0190010467372346
"8",0,20,7,"highest","degree",150,0.0798597621000728,0.0199230647577911
"8",0,20,7,"lowest","centbet",150,0.0879695600071587,0.0195912129525443
"8",0,20,7,"lowest","centclos",150,0.0854697150197194,0.0209487186490302
"8",0,20,7,"lowest","centeigen",150,0.08462379869106,0.0177880619062088
"8",0,20,7,"lowest","cluscoeff",150,0.0819558230931935,0.0183532424003225
"8",0,20,7,"lowest","degree",150,0.0854055898170576,0.0194353366018336
"8",0,20,7,"random","none",150,0.0817811954989244,0.0209133291190312
"8",5,0,NA,"none","none",150,0.068937509607578,0.0159796120168229
