"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","where_bias","level_bias","who_biased","percent_bias","bet_biased","bet_unbiased","clus_biased","clus_unbiased","eigen_biased","eigen_unbiased","clos_biased","close_unbiased","assor_biased","assor_unbiased","deg_biased","deg_unbiased","exponent","old_rep_id","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
2916,150,0,5.36787472035794,0.532871377986805,-0.238033818216783,20,1.98666666666667,7,"lowest","centclos",20,"29.5666666666667",399.366666666667,"0",0,"0.00379407591827342",0.117117940941246,"0.146766257829598",0.204661940525736,"0.772567235854921",0.372644553489124,"1.2",2.18333333333333,3.21788975111869,2916,0.0262523839854757,1.29446554676319,0.0884807425477732,1.29877655106907,0.0879906575554672,5994,7347.07063936817,0.65587687306673,0.0644125311419494,4.77353187082213,0.242265053878786,4,0,0.0250142778113925,0.196548993176204
2917,150,0,4.76474272930649,0.553277386952793,-0.258569912939309,20,1.98666666666667,7,"lowest","centclos",20,"19.7333333333333",345.658333333333,"0",0,"0.00568413092875057",0.0904152211293667,"0.16752294825665",0.229617101991783,"0.663141688575048",0.323440742659131,"1.13333333333333",2.2,2.93350546975912,2918,0.0240863799712184,1.31993235649611,0.11909126035027,1.32431894612748,0.118491506258203,5994,8037.95426242475,0.646715258143668,0.0679719816417889,4.75891859374561,0.259372328949086,4,0,0.0249785327005385,0.193585751029433
2918,150,0,6.07391498881432,0.581440408660954,-0.222841133816744,20,1.98666666666667,7,"lowest","centclos",20,"34.5",463.883333333333,"0",0,"0.00195453058548966",0.0698068420228985,"0.130618801033973",0.18079369925761,"0.743673867481874",0.501876799667932,"1.23333333333333",2.175,2.95671923691034,2917,0.024736611191751,1.33930176946971,0.0919763178016797,1.34342458951132,0.0914900720086443,5994,6167.16657989397,0.637463636775813,0.0628975965764619,4.66737519821438,0.267540262020461,4,0,0.0259038744850608,0.190580115468857
2919,150,0,5.70129753914989,0.585147547134398,-0.218071162532689,20,1.98666666666667,7,"lowest","centclos",20,"53.9666666666667",424.316666666667,"0",0,"0.00854446039509407",0.119891577845062,"0.138226370750706",0.192572635026881,"0.746778586340542",0.50888757895349,"1.26666666666667",2.16666666666667,3.02049511930882,2919,0.0293406610397042,1.31178472393952,0.128537607952717,1.31602635940428,0.127901623089075,5994,6177.01824203362,0.648056015039316,0.0825904047587898,4.67544040875839,0.326617937960806,4,0,0.0294082197551528,0.193839386850887
2920,150,0,5.21127516778524,0.592473747397616,-0.208819911866045,20,1.98666666666667,7,"lowest","centclos",20,"133.6",358.775,"0",0,"0.000532295257036811",0.0710012981281329,"0.140982266096878",0.216957349002237,"0.749613211046965",0.263973252603507,"1.53333333333333",2.1,3.20625325966108,2920,0.0357273953864025,1.3458950458944,0.105465426226895,1.34997707032371,0.104951112474485,5994,8792.20887563254,0.632806867935914,0.0865458069266567,4.74396943729795,0.273939170926881,4.12,0.589846982773709,0.0308581297094868,0.188244090428597
2921,150,0,5.44868008948546,0.585621886729842,-0.224525063435652,20,1.98666666666667,7,"lowest","centclos",20,"39.2333333333333",404.475,"0",0,"0.00264901075927631",0.0803263402471368,"0.143742170293608",0.202211229942638,"0.742361958981678",0.461462040917745,"1.23333333333333",2.175,3.27083994167112,2921,0.0258732833464707,1.34827420947634,0.105777752495222,1.35236521332397,0.105320702424624,5994,6756.08480402627,0.636634746730902,0.0650191112210604,4.69057284111626,0.257142080853931,4,0,0.0278686813555561,0.189802269512588
2922,150,0,6.30845637583893,0.571144065602607,-0.328319943611776,20,1.98666666666667,7,"lowest","centclos",20,"119.4",464.5,"0",0,"0.00179465666883164",0.0776160428449948,"0.122600416880326",0.175697357557332,"0.590927134945048",0.430379613391161,"1.4",2.13333333333333,2.90151422159025,2923,0.0315083832878276,1.26157389251765,0.0900932331478455,1.26617013221749,0.0898086381519476,5994,6756.38281366829,0.6652375473697,0.0750234981894884,4.70598551918189,0.330003656530763,4.18,0.714847334337477,0.0293146744506696,0.198758250381021
2923,150,0,4.40912751677852,0.553204743616757,-0.241998603932751,20,1.98666666666667,7,"lowest","centclos",20,"24.5333333333333",311.341666666667,"0",0,"0.00371903515175851",0.0796172939883751,"0.180178411059084",0.248250210985694,"0.567447526044183",0.21949193532285,"1.13333333333333",2.2,2.8703505764887,2924,0.0227490105131339,1.35104654730876,0.122807248452028,1.35534144982996,0.122035316552146,5994,9122.10148871793,0.640351505812795,0.0654594624194927,4.78218563682591,0.251111519068022,4,0,0.0265689695257919,0.190830360426674
2924,150,0,4.8779418344519,0.599638540293692,-0.216998050071655,20,1.98666666666667,7,"lowest","centclos",20,"19.7333333333333",356.2,"0",0,"0.00193466485526291",0.0833167094014757,"0.157727749360911",0.227359268113611,"0.703503009297094",0.337833176189858,"1.13333333333333",2.2,3.05800499841863,2922,0.0244761262067243,1.31036201393543,0.101495044316008,1.31479715117799,0.100975623409764,5994,8253.00335814364,0.647902899094862,0.0627112250570948,4.77047303733919,0.214922687404092,4,0,0.0255917028257288,0.194135877909313
2925,150,0,4.93279642058166,0.575668282890069,-0.159953571045697,20,1.98666666666667,7,"lowest","centclos",20,"83",345.491666666667,"0",0,"0.00294368250365774",0.0834667420420687,"0.155007195243187",0.226112318752148,"0.823986510777489",0.407307743718604,"1.3",2.15833333333333,3.07615762250696,2928,0.0226549214339161,1.29518443206638,0.127032020002118,1.29952014975188,0.126439329862677,5994,7330.77433488395,0.656700891863016,0.0704345057834541,4.70903172207584,0.23092612366499,4,0,0.026407417090084,0.19701112776727
