"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","rewire","mean_cond","std_cond"
"10",20,20,7,"lowest","centbet",150,0.1,0.0304419303289213,0.0126771853403813
"10",20,20,7,"lowest","centbet",150,0.9,0.0298557303766506,0.0071309425023392
"10",20,20,7,"lowest","centclos",150,0.1,0.0301932706759378,0.0133333893206048
"10",20,20,7,"lowest","centclos",150,0.9,0.0307316700471512,0.00749827188092506
"10",20,20,7,"lowest","centeigen",150,0.1,0.0308188121762865,0.0134405901721295
"10",20,20,7,"lowest","centeigen",150,0.9,0.0307044276944981,0.0077200355885367
"10",20,20,7,"lowest","cluscoeff",150,0.1,0.0308788855488324,0.0136673147300337
"10",20,20,7,"lowest","cluscoeff",150,0.9,0.0299933103747353,0.00802498929760448
"10",20,20,7,"lowest","degree",150,0.1,0.0304493609890076,0.0131759638879772
"10",20,20,7,"lowest","degree",150,0.9,0.0303875421320711,0.00758035827155067
"10",20,20,7,"random","none",150,0.1,0.0306214231577356,0.0129284979370878
"10",20,20,7,"random","none",150,0.9,0.0301669804598306,0.00776474509746785
"2",0,0,NA,"none","none",150,0.1,0.100356888305424,0.036051745619646
"2",0,0,NA,"none","none",150,0.9,0.0991132365013924,0.0195013997049756
"2",0,20,7,"highest","centbet",150,0.1,0.0817399806569025,0.0316172454780518
"2",0,20,7,"highest","centbet",150,0.9,0.0782213363727577,0.0169955243500036
"2",0,20,7,"highest","centclos",150,0.1,0.0840827133248752,0.0358339257293916
"2",0,20,7,"highest","centclos",150,0.9,0.077358021982475,0.0164384372335025
"2",0,20,7,"highest","centeigen",150,0.1,0.0831834990996979,0.0346524231318223
"2",0,20,7,"highest","centeigen",150,0.9,0.0763192197332146,0.0168125495623277
"2",0,20,7,"highest","cluscoeff",150,0.1,0.0822319781891634,0.0300536847365216
"2",0,20,7,"highest","cluscoeff",150,0.9,0.0811801013182083,0.0173807824216718
"2",0,20,7,"highest","degree",150,0.1,0.0807172130238195,0.0305485026580254
"2",0,20,7,"highest","degree",150,0.9,0.0757216815084438,0.0162222940946253
"2",0,20,7,"lowest","centbet",150,0.1,0.083841533530587,0.0317001452006012
"2",0,20,7,"lowest","centbet",150,0.9,0.0853465413099631,0.0173627225405378
"2",0,20,7,"lowest","centclos",150,0.1,0.0888615898788061,0.0337315912998997
"2",0,20,7,"lowest","centclos",150,0.9,0.0850180799439868,0.016849891950592
"2",0,20,7,"lowest","centeigen",150,0.1,0.0853873548644724,0.0334274648455208
"2",0,20,7,"lowest","centeigen",150,0.9,0.0862951501354432,0.0175806004040352
"2",0,20,7,"lowest","cluscoeff",150,0.1,0.0813542486862102,0.0306517497994498
"2",0,20,7,"lowest","cluscoeff",150,0.9,0.0819580413673884,0.0171191331360451
"2",0,20,7,"lowest","degree",150,0.1,0.0832337135829227,0.0326089740496871
"2",0,20,7,"lowest","degree",150,0.9,0.0864837753293886,0.017845728160142
"2",0,20,7,"random","none",150,0.1,0.0790683097739443,0.0300787623711529
"2",0,20,7,"random","none",150,0.9,0.0811128055886389,0.0172110971164715
"2",5,0,NA,"none","none",150,0.1,0.0660914933577516,0.0252459356072238
"2",5,0,NA,"none","none",150,0.9,0.0682715391359501,0.0145517095668425
"2",5,20,7,"highest","centbet",150,0.1,0.0563731820201883,0.0238534474657934
"2",5,20,7,"highest","centbet",150,0.9,0.0558232293928037,0.0130660860909981
"2",5,20,7,"highest","centclos",150,0.1,0.0569494268914195,0.0246411189395912
"2",5,20,7,"highest","centclos",150,0.9,0.0542202148917622,0.0124062785026591
"2",5,20,7,"highest","centeigen",150,0.1,0.0591116658246955,0.0249932531027132
"2",5,20,7,"highest","centeigen",150,0.9,0.055736550082634,0.0127525973723529
"2",5,20,7,"highest","cluscoeff",150,0.1,0.0573294175891882,0.0224861677257659
"2",5,20,7,"highest","cluscoeff",150,0.9,0.0563245552113513,0.0116259598027353
"2",5,20,7,"highest","degree",150,0.1,0.0548547412134559,0.0223153825579035
"2",5,20,7,"highest","degree",150,0.9,0.0550421596067963,0.0133675048290193
