"rep_id","condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
1819,"9",5,20,7,"lowest","centeigen",150,0.0600471198088576,0.0223098206642725
1820,"1",5,20,7,"lowest","centeigen",150,0.0610881659912259,0.0297905736826945
1820,"10",5,20,7,"lowest","centeigen",150,0.0632243569547981,0.0217152359555823
1820,"2",5,20,7,"lowest","centeigen",150,0.0501879548097289,0.0240626999368073
1820,"3",5,20,7,"lowest","centeigen",150,0.0394748422653949,0.0173506269910766
1820,"4",5,20,7,"lowest","centeigen",150,0.362612917010424,0.078719749984633
1820,"5",5,20,7,"lowest","centeigen",150,0.0507827113075111,0.0178041738137001
1820,"6",5,20,7,"lowest","centeigen",150,0.0661798825959407,0.0361318612358197
1820,"7",5,20,7,"lowest","centeigen",150,0.176279468825672,0.120076274161326
1820,"8",5,20,7,"lowest","centeigen",150,0.0766079494908788,0.0357283035320184
1820,"9",5,20,7,"lowest","centeigen",150,0.0535617507484255,0.0230335587645598
1821,"1",5,20,7,"lowest","centeigen",150,0.0557378603418414,0.0189783249291692
1821,"10",5,20,7,"lowest","centeigen",150,0.102168606094602,0.0377331419673266
1821,"2",5,20,7,"lowest","centeigen",150,0.0594280696190549,0.0260972416483858
1821,"3",5,20,7,"lowest","centeigen",150,0.0575271775147634,0.0236920956013067
1821,"4",5,20,7,"lowest","centeigen",150,0.337543982536139,0.0473660171231208
1821,"5",5,20,7,"lowest","centeigen",150,0.0389242360216996,0.0110829124945319
1821,"6",5,20,7,"lowest","centeigen",150,0.052690624284613,0.0223695973608542
1821,"7",5,20,7,"lowest","centeigen",150,0.179003489535524,0.120380748114668
1821,"8",5,20,7,"lowest","centeigen",150,0.0755683019406261,0.0373284514213615
1821,"9",5,20,7,"lowest","centeigen",150,0.0414076521111372,0.0164662728307708
1822,"1",5,20,7,"lowest","centeigen",150,0.0505406204169157,0.0255435942445651
1822,"10",5,20,7,"lowest","centeigen",150,0.0586954844916358,0.0281034958618472
1822,"2",5,20,7,"lowest","centeigen",150,0.0583665590227379,0.0353548199648752
1822,"3",5,20,7,"lowest","centeigen",150,0.0690113653957451,0.0288477733415118
1822,"4",5,20,7,"lowest","centeigen",150,0.343964444457116,0.0582298823336868
1822,"5",5,20,7,"lowest","centeigen",150,0.0599771313197839,0.0262562233123276
1822,"6",5,20,7,"lowest","centeigen",150,0.0583188851435748,0.0233748758090739
1822,"7",5,20,7,"lowest","centeigen",150,0.175843909336968,0.117368073182903
1822,"8",5,20,7,"lowest","centeigen",150,0.0720047498145488,0.0265169867583586
1822,"9",5,20,7,"lowest","centeigen",150,0.0532768506009743,0.0172276846901478
1823,"1",5,20,7,"lowest","centeigen",150,0.0453449157611634,0.0170058991957761
1823,"10",5,20,7,"lowest","centeigen",150,0.0653541594643261,0.0302479177956524
1823,"2",5,20,7,"lowest","centeigen",150,0.0522575857697035,0.0232854849115223
1823,"3",5,20,7,"lowest","centeigen",150,0.0735934160163889,0.0330654907724906
1823,"4",5,20,7,"lowest","centeigen",150,0.332189488081332,0.062964679522555
1823,"5",5,20,7,"lowest","centeigen",150,0.0457806257238112,0.0268718496177328
1823,"6",5,20,7,"lowest","centeigen",150,0.0712293674284991,0.0210571320068027
1823,"7",5,20,7,"lowest","centeigen",150,0.18366705188386,0.138799176237955
1823,"8",5,20,7,"lowest","centeigen",150,0.075617041815974,0.0365403029941773
1823,"9",5,20,7,"lowest","centeigen",150,0.054966348054942,0.0335561941071945
1824,"1",5,20,7,"lowest","centeigen",150,0.0675630142115241,0.0260380812588868
1824,"10",5,20,7,"lowest","centeigen",150,0.0630757108908373,0.0262234210327578
1824,"2",5,20,7,"lowest","centeigen",150,0.0520707032472327,0.0212236426248006
1824,"3",5,20,7,"lowest","centeigen",150,0.0574935775586589,0.0220276105556928
1824,"4",5,20,7,"lowest","centeigen",150,0.344964980621209,0.0602355428714831
1824,"5",5,20,7,"lowest","centeigen",150,0.0568744315318405,0.0303444379879954
1824,"6",5,20,7,"lowest","centeigen",150,0.0540548915183987,0.0259604575965832
1824,"7",5,20,7,"lowest","centeigen",150,0.174924804020823,0.143595544658305
1824,"8",5,20,7,"lowest","centeigen",150,0.0619733852902198,0.0318800245649006
1824,"9",5,20,7,"lowest","centeigen",150,0.0670045011092561,0.0214532062457142
1825,"1",5,20,7,"lowest","centeigen",150,0.0505542808170017,0.0208846379143354
1825,"10",5,20,7,"lowest","centeigen",150,0.0582610208515324,0.0237374491396477
1825,"2",5,20,7,"lowest","centeigen",150,0.0634968056905252,0.0248848910586665
1825,"3",5,20,7,"lowest","centeigen",150,0.060598841689785,0.0272262156173076
1825,"4",5,20,7,"lowest","centeigen",150,0.352597965571659,0.106967995706927
1825,"5",5,20,7,"lowest","centeigen",150,0.0584540700482145,0.0215812319688091
1825,"6",5,20,7,"lowest","centeigen",150,0.0534580350718777,0.021752247845976
1825,"7",5,20,7,"lowest","centeigen",150,0.190861039168154,0.128028289177401
1825,"8",5,20,7,"lowest","centeigen",150,0.0659316574095524,0.0322153989423596
1825,"9",5,20,7,"lowest","centeigen",150,0.0457862836816985,0.0206441807423546
1826,"1",5,20,7,"lowest","centeigen",150,0.0530337634381351,0.0253886769767305
1826,"10",5,20,7,"lowest","centeigen",150,0.0743076176439582,0.0338974481402688
1826,"2",5,20,7,"lowest","centeigen",150,0.0472444789697663,0.0242054782252545
1826,"3",5,20,7,"lowest","centeigen",150,0.0569255455537098,0.0306886085729281
1826,"4",5,20,7,"lowest","centeigen",150,0.339698851233609,0.0721756886706665
1826,"5",5,20,7,"lowest","centeigen",150,0.0683045898807943,0.027667386984842
1826,"6",5,20,7,"lowest","centeigen",150,0.0494265850203173,0.0194312423565149
1826,"7",5,20,7,"lowest","centeigen",150,0.182165008627737,0.140486830536317
1826,"8",5,20,7,"lowest","centeigen",150,0.0683654827269788,0.0212267461347396
1826,"9",5,20,7,"lowest","centeigen",150,0.0605280769049942,0.0313245980109543
1827,"1",5,20,7,"lowest","centeigen",150,0.0756456228418754,0.0292811538597951
1827,"10",5,20,7,"lowest","centeigen",150,0.0492163017872476,0.0171188822452715
1827,"2",5,20,7,"lowest","centeigen",150,0.0456869851856945,0.0173823950928591
1827,"3",5,20,7,"lowest","centeigen",150,0.0371328438337232,0.023563478988814
1827,"4",5,20,7,"lowest","centeigen",150,0.326740890563186,0.0785643301441763
1827,"5",5,20,7,"lowest","centeigen",150,0.0474734233044342,0.0203849417409397
1827,"6",5,20,7,"lowest","centeigen",150,0.0722256099174327,0.0344565251789034
1827,"7",5,20,7,"lowest","centeigen",150,0.179049022752448,0.119206918430244
1827,"8",5,20,7,"lowest","centeigen",150,0.0847715426881295,0.0387696384807648
1827,"9",5,20,7,"lowest","centeigen",150,0.0820577571258292,0.0340191647980832
1828,"1",5,20,7,"lowest","centeigen",150,0.0624117136012149,0.027682523099547
1828,"10",5,20,7,"lowest","centeigen",150,0.0574175351790727,0.0230581642298683
1828,"2",5,20,7,"lowest","centeigen",150,0.0504487695869898,0.0184327167818745
1828,"3",5,20,7,"lowest","centeigen",150,0.0527346444526397,0.0237451999990975
1828,"4",5,20,7,"lowest","centeigen",150,0.353683035394881,0.0784994937327554
1828,"5",5,20,7,"lowest","centeigen",150,0.0629943893524949,0.0343246624003694
1828,"6",5,20,7,"lowest","centeigen",150,0.067505979990036,0.0242622075405615
1828,"7",5,20,7,"lowest","centeigen",150,0.167455425843089,0.119957168059041
1828,"8",5,20,7,"lowest","centeigen",150,0.0669072663997065,0.0301971003286562
1828,"9",5,20,7,"lowest","centeigen",150,0.058441240199875,0.0293793827968359
1829,"1",5,20,7,"lowest","centeigen",150,0.0609150777669261,0.0292683696617619
1829,"10",5,20,7,"lowest","centeigen",150,0.0596081483497321,0.0202828341378359
1829,"2",5,20,7,"lowest","centeigen",150,0.0576374300449635,0.0308368413110923
1829,"3",5,20,7,"lowest","centeigen",150,0.0362396943596205,0.0134594424292189
