"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
62,50,0,4.45877551020408,0.538071652825368,-0.343111324837701,0,1.96,2.69114786342905,0.0369037620104308,2.20107776430961,0.0620750518220385,2.20155630319188,0.0617775407974524,5890,5875.02496738073,0.187811463414625,0.0381166160616157,5.08224419252038,0.395930426612928,3.76,3.17875601390204,0.0368582459258653,0.0254839302949691
63,50,0,3.84734693877551,0.588482957451727,-0.277511961722488,0,1.96,2.86085896466221,0.015683750567347,2.24828290031902,0.0174393360773044,2.24854697071905,0.0173459474157853,5890,6268.28753101105,0.162326304315459,0.0186470405773545,5.53898688789024,0.221352278397389,7.1,1.55511007550552,0.0243352614071548,0.0225626254974898
64,50,0,4.02040816326531,0.543157533091323,-0.363735070575461,0,1.96,2.73119034204435,0.0195700200965118,2.23399823994913,0.0294781040503477,2.23432149310701,0.0293332532704783,5890,6665.90471836237,0.180602466761111,0.0311991798178763,5.54274768802789,0.425396121793784,4.8,3.95897327444315,0.0264414145289103,0.0263977581568758
65,50,0,4.3730612244898,0.563531858227647,-0.366391184573003,0,1.96,2.825914256829,0.0300349444756748,2.19330923127688,0.0416443429240852,2.19382357346174,0.0414126164594909,5890,6268.28753101105,0.208752378972846,0.0344655279680212,5.72891288012091,0.193795271291689,5.6,0.67005939426049,0.0326946387627843,0.0347796483819621
66,50,0,4.3134693877551,0.564827915569211,-0.282578960457597,0,1.96,2.71859474537201,0.0335774373353997,2.20103647392938,0.0511904749304545,2.20150622564273,0.0509345364365722,5890,5247.50669657622,0.20106346275596,0.0437446453497377,5.25931793024084,0.365496352180514,4.74,2.48924215989772,0.0363352573969382,0.0287367405271748
67,50,0,3.85877551020408,0.546547536784823,-0.330836737781812,0,1.96,2.97827897975275,0.0269378359778065,2.20185640623545,0.027588719705633,2.20235970350773,0.027428253833878,5890,7665.56040524961,0.194279051152174,0.0286697833512646,5.71043423034813,0.453596034263672,6.16,2.63694319008869,0.0324067918100487,0.0323633309815127
68,50,0,4.02530612244898,0.546551362347465,-0.224487423869078,0,1.96,2.89738108960556,0.0221953388981366,2.22141015212369,0.039300616798332,2.22179793237132,0.0391037749002651,5890,6120.02400955675,0.170146469802582,0.0350848270648377,5.26824024112977,0.311696942959314,4.1,2.55750196999545,0.0297640435235052,0.0276631897003102
69,50,0,4.07836734693878,0.568913228169333,-0.354572854855421,0,1.96,2.93479834440494,0.0400119274210205,2.17786886077534,0.0339535388620069,2.17849554563766,0.0337242831310036,5890,5780.47381717281,0.19854435762187,0.0303640706322918,5.330041264036,0.488407420025812,4.9,3.19597961731387,0.0384715446982743,0.0312485656836373
70,50,0,3.2334693877551,0.62118844903002,-0.379897530435616,0,1.96,2.97793745843711,0.017319086346205,2.2251356815188,0.0201588775994301,2.2255344187872,0.0200213730805858,5890,9447.25421722619,0.175389858355283,0.0132223131088363,5.76687686479997,0.205982198990808,6.54,1.07304639761222,0.0254252373108859,0.0310558154615908
71,50,0,5.03755102040816,0.569031327201079,-0.307403231867719,0,1.96,2.85241089217441,0.0341253773840344,2.21729169353071,0.0497883774508372,2.21767980175549,0.0495343814292893,5890,4770.82973145454,0.184143485231873,0.0300827374603853,5.20490550126296,0.461281786266254,5.1,2.81577190634672,0.0371235027676435,0.0209902712486619
72,50,0,4.07836734693878,0.603445224043615,-0.314991132269205,0,1.96,2.50136645039495,0.0196466194374186,2.23903455433756,0.0191107037194446,2.23934554411819,0.0189966763356942,5890,5875.02496738073,0.16867648302608,0.0222351821413299,5.70377655235973,0.281980501017425,7.4,1.81827458019398,0.0274971037166407,0.0231921510725487
