"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","connec","neighbors","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
442,150,0.453980788124008,"1.5482774049217003",0.574391894641868,-0.0258751121367573,5,0.45,67.3066666666667,5.83440746035822e-06,2.00077436345859,0.00149683888298273,2.00080059595571,0.00149683096429447,201935,19565.9339621721,0.354217234817745,0.000917576652631716,5.45094586044224,0.004507446749911,4,0,0.000478686000113187,0.0949549304519574
443,150,0.446491304569461,"1.5532885906040268",0.607046509486284,-0.00943452975541058,5,0.45,66.56,5.40002192899122e-06,1.87525591833497,0.00169422459350687,1.87529250520529,0.0016931801067512,199695,19253.2817737757,0.426448600669342,0.000884038035886237,5.49285269835704,0.00416026756736152,4,0,0.000457955324939805,0.118772880340109
444,150,0.452270100384711,"1.5477404921700224",0.560727348185783,-0.0147068232429027,5,0.45,67.3866666666667,5.83024716840892e-06,2.00515703625348,0.00139616253901972,2.00518153023997,0.00139590546621192,202175,19488.1068532793,0.369344746275578,0.000766674258807167,5.15533140911986,0.00484688184423148,4,0,0.000474515634243697,0.0977987575241566
445,150,0.447624916045697,"1.5515883668903803",0.562024239706806,-0.00964065570645097,5,0.45,66.8133333333333,5.74918338206484e-06,1.98866930971208,0.00148125793109622,1.98869653744214,0.00148094437449006,200455,17713.7871454288,0.377046530512898,0.000881994392471141,4.90137406695669,0.00429062382772709,4,0,0.000473799648819201,0.0999851073974652
446,150,0.447104473853076,"1.55248322147651",0.555981422561258,-0.0134408530080001,5,0.45,66.68,5.10301958377256e-06,1.98722767704307,0.00131467086180689,1.98725318210925,0.00131464161757092,200055,18037.946578769,0.388332468231575,0.000789546926724061,4.82250954560587,0.00396441486701962,4,0,0.000445232195484491,0.103254470519659
447,150,0.457379000587046,"1.5439821029082774",0.625157416893683,8.92337716966588e-05,5,0.45,67.9466666666667,4.75953132496343e-06,1.89057889040392,0.00163520253655503,1.89061191466995,0.00163503017376967,203855,18146.3402489188,0.432911825723121,0.000839861049159867,4.829787903775,0.00394583729131862,4,0,0.000429621199089233,0.119489276504527
448,150,0.445248179258493,"1.555973154362416",0.567707496516763,-0.0188191476303465,5,0.45,66.16,5.04047177547354e-06,1.95417470421413,0.00145031443218593,1.95420389987181,0.00145025135748603,198495,19311.5467771532,0.400647525603161,0.000821530604093579,4.80551455781785,0.00437046091889149,4,0,0.000441984304229764,0.107889044677689
449,150,0.448334056123557,"1.552751677852349",0.539719836394118,0.00687660666960189,5,0.45,66.64,4.9535370270695e-06,1.84451414178592,0.00177742321188369,1.84455148487754,0.00177722565543472,199935,18539.8247206154,0.455506550597311,0.000906579340688583,4.92515906671031,0.0037531497097962,4,0,0.000438247105691757,0.127366850830247
450,150,0.449782453777373,"1.5500671140939597",0.533546683814976,-0.00250473510712258,5,0.45,67.04,5.25033284212227e-06,2.0378503355756,0.00123677993753628,2.03787150681551,0.0012365735667774,201135,19938.8057103319,0.365497455495644,0.000733928140616539,5.16432013971218,0.00422830030264292,4,0,0.000451338133685505,0.0943317859513005
451,150,0.547301241744958,"1.4530648769574943",0.545987916024123,-0.0174861372265309,5,0.55,81.4933333333333,3.38101416914807e-06,1.95724054517369,0.00101317346358612,1.95726344518982,0.00101296849506338,244495,18015.9213702434,0.404112708022682,0.000552547921833199,5.08734152562618,0.00317182761871083,4,0,0.000358253679735215,0.108659229549872
452,150,0.559101581179107,"1.439642058165548",0.550714211203736,-0.00499920063323764,5,0.55,83.4933333333333,3.59119302299822e-06,1.95361563947296,0.00122685357734824,1.95363833846998,0.00122676252039395,250495,17663.7953008273,0.40317246288091,0.000661418429058505,4.78375378123362,0.00335837911283228,4,0,0.0003720517050713,0.108727927490514
453,150,0.548090511221298,"1.450738255033557",0.551984375234451,0.00143387512960899,5,0.55,81.84,3.70938606413261e-06,2.04468600534263,0.000955211952036534,2.04470295921208,0.000955273166953679,245535,16856.5682337019,0.357357067185368,0.0006094846942739,5.05426879361374,0.00322108278708355,4,0,0.000379606754145806,0.0921489799944735
454,150,0.550213650420735,"1.4501118568232663",0.53795358151201,-0.0233213657691764,5,0.55,81.9333333333333,3.67765625313598e-06,2.04875421558964,0.00104393615624176,2.04877201232063,0.00104386337591749,245815,18115.9575916673,0.332263851684786,0.000657143429727713,5.02794714929536,0.00315215308359404,4,0,0.000380159167060467,0.0866773617175057
455,150,0.550481500724519,"1.4508277404921701",0.542391497112695,-0.0141631930666905,5,0.55,81.8266666666667,3.72249887419814e-06,2.00452691530489,0.00114654411628931,2.00454801088466,0.00114650626303426,245495,18456.449737497,0.35487418974336,0.000679997205065203,5.00333146835202,0.00364368366455337,4,0,0.000382134473222941,0.0947307971614983
456,150,0.547505046006657,"1.4533333333333334",0.515432322654982,-0.0187472003039311,5,0.55,81.4533333333333,3.31180135469498e-06,1.92565287079651,0.00128196534911068,1.92567913579356,0.00128194451209282,244375,19029.5707717854,0.404591732135883,0.00071792097881165,4.69022161136245,0.00283550139132616,4,0,0.00036004867755638,0.110739325007776
457,150,0.549100144061904,"1.451096196868009",0.549955229567952,-0.00370677601242036,5,0.55,81.7866666666667,3.54075991350343e-06,2.02833120137723,0.00107933981413184,2.02834958883106,0.00107921521453265,245375,19269.2960902074,0.360908045431902,0.00063238558961082,5.37297140428292,0.00360757010415789,4,0,0.00037169518748327,0.0941438954264409
458,150,0.551871949512387,"1.4480536912751678",0.543745975414724,-0.00991465807975294,5,0.55,82.24,3.71022340026244e-06,2.10954453760434,0.000845192371154983,2.10955734901673,0.000845102323888354,246735,17887.8384692134,0.313882035115885,0.000585393504961078,4.87405870941159,0.00278185109224404,4,0,0.000380761211845578,0.0774238679061731
