"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
31,300,0.404142857142857,6.67094760312152,0.568145474321437,0.0250800029768554,0,0.1,4,0.0282304761654213,2.24087331342635,0.0351117091705672,2.24097306299492,0.0350523228581069,12010,1989.97487421324,0.163696017222795,0.0276072612249781,5.53129070627723,0.308973731174567,5.83720930232558,2.96480648936484,0.0336975096822581,0.010241008643055
32,300,0.370222222222222,6.85110367892977,0.545752267377316,0.00238910053593339,0,0.1,4,0.0294217126485101,2.24131963884516,0.0308975465233622,2.2414166726244,0.0308456077586167,12010,1766.35217326557,0.164984042136013,0.0261499092073363,5.44942580367039,0.296749150380073,5.32890365448505,2.96222806808545,0.0344832326176832,0.00655504694264793
33,300,0.371666666666666,6.88033444816053,0.546818979698856,-0.0605983255054103,0,0.1,4,0.0274325675352971,2.24474376320285,0.0274270120995331,2.24483491904282,0.0273823054270779,12010,1962.86596826287,0.165034265917628,0.0215912138234843,5.51282405712259,0.316582220891471,5.58,2.97766490631743,0.0335421859279693,0.00788077951577409
34,300,0.372666666666666,6.60677814938685,0.577985533560509,0.0155390406331435,0,0.1,4,0.0290486999064625,2.24078951996606,0.0376346681465642,2.24088984146133,0.0375636276590433,12010,2023.27592901953,0.164977194966223,0.0280318311122963,5.57347971332907,0.321299691368107,5.47666666666667,3.13083524318278,0.0343187496503802,0.00845373275807
35,300,0.388015873015873,7.27690078037904,0.561096530204736,-0.0583552545804539,0,0.1,4,0.0280714338048389,2.23999200124058,0.0419026821950159,2.24009090088375,0.0418331512777092,12010,1682.0913881615,0.163132178773185,0.0252231446120346,5.67894812525254,0.307601859549053,6.38666666666667,3.0100982031929,0.0336237150613851,0.0114296921092118
36,300,0.338095238095238,6.07783723522854,0.572241713115517,0.0115417324747905,5,0.1,4,0.0163052970485099,1.92307207526178,0.0835238883175634,1.92360734920672,0.0833990440705438,12015,2262.09125726335,0.4150094222829,0.04742901730579,4.93326060802684,0.214011560274477,4,0,0.025301180272386,0.110852821262902
37,300,0.376888888888889,6.74392419175028,0.543944255411668,0.0300417620907994,5,0.1,4,0.0154773482436967,1.95843083588073,0.0758630525960773,1.95890757554359,0.0757729793731104,12015,1786.23499336034,0.396105269070667,0.043112581951618,4.97726200350436,0.257200206524783,4,0,0.0247368709813346,0.104293438269574
38,300,0.376047619047619,6.60461538461538,0.585500096038896,-0.0359723480085236,5,0.1,4,0.0163885094275439,1.94938223265225,0.0744462131258901,1.94987606938191,0.0743438873154266,12015,1916.30916155916,0.400332322479775,0.0449872147026165,4.9067587034249,0.215494313379588,4,0,0.0254483763245972,0.10572779123803
39,300,0.348365079365079,6.34965440356745,0.571536806521475,-0.0981987216734459,5,0.1,4,0.0146506668331728,1.97569872517954,0.0675230856556312,1.97615845909521,0.06742473119348,12015,2052.81436636206,0.387065947197404,0.0404653448344116,5.0217505836447,0.219851385997805,4,0,0.0239043486671064,0.101173475784608
40,300,0.358,6.56688963210702,0.564293196851075,-0.0636752012554863,5,0.1,4,0.0162833284320165,1.93824897267101,0.0850777424170165,1.93875896377105,0.0849599470257585,12015,1868.59273143899,0.406013262325813,0.0490716059796797,5.09347879662075,0.249780780099145,4,0,0.025325335003487,0.107782068211592
41,300,0.356111111111111,6.62033444816054,0.550874060271083,-0.0413379615020517,20,0.1,4,0.00605103726719826,1.23411950797963,0.0938567169763402,1.23560920414436,0.0937073883162302,12030,1868.59273143899,0.704425425857542,0.0321640455857692,4.51063255168535,0.150001308985618,4,0,0.0146249659411812,0.212383501913006
42,300,0.366777777777777,6.9726867335563,0.555716360815486,-0.0682397959183675,20,0.1,4,0.00695391737229837,1.26772692467679,0.0893331102963099,1.26916510162265,0.0892022957021646,12030,1699.89179273959,0.692040261676103,0.0305200580140617,4.47171346821932,0.145210831514771,4,0,0.0155048154495655,0.208047652139319
43,300,0.386873015873016,7.09545150501672,0.562318229778674,0.000799360511590935,20,0.1,4,0.00762329951529324,1.25398816136135,0.123004020846109,1.2554502884409,0.122809603289181,12030,1699.89179273959,0.695867326783141,0.041539385198395,4.51720664136299,0.149417025690405,4,0,0.0168179593295436,0.209401789419365
44,300,0.390031746031746,6.88481605351171,0.567578221037139,-0.0208369209574649,20,0.1,4,0.00634389014401015,1.23169342707448,0.0929460380352454,1.23318923510313,0.0927975793550784,12030,1819.62545302534,0.704380164967868,0.0310631168673902,4.45458295465906,0.156662055292705,4,0,0.0149676309363112,0.212375685378087
45,300,0.387984126984126,7.19447045707915,0.539327011265538,-0.0744727300339793,20,0.1,4,0.00679496072696116,1.25017837016435,0.0912181050251052,1.25165631626266,0.0910748964932303,12030,1947.47070336584,0.697712564209516,0.0302297136765185,4.52367926890904,0.126035767570954,4,0,0.0152979988586614,0.210042917592644
46,50,0.166095238095238,3.10448979591837,0.599840827557867,-0.0570824524312892,0,0.3,4,0.00689706827181789,2.25275883221662,0.0210365300817168,2.2528389079902,0.0210009617453893,12010,3149.34395500694,0.164690845246862,0.025406970844316,5.1611690112535,0.112473632763611,4.28,1.3856406460551,0.0148853380042629,0.0289522330958001
47,50,0.107904761904762,2.9534693877551,0.520910927244655,-0.0577933450087565,0,0.3,4,0.00263916517885014,2.26608652881392,0.00829603927617695,2.26614745485884,0.00828175537533677,12127.6470588235,3647.72289969252,0.143620888309026,0.00770654215747858,5.9376181191089,0.0910094057279581,6.19607843137255,1.67355439520964,0.0100477843358981,0.0260353231246433
48,50,0.185619047619048,3.04979591836735,0.557321718460778,-0.0530137981118376,0,0.3,4,0.00594706640282727,2.202711943779,0.0278477338275116,2.20288630202018,0.0278000907430146,12010,3207.13490294909,0.157410090621768,0.0151116286508435,5.19794965481173,0.147998690614982,6.88,2.84023569013387,0.0151634905812443,0.0421469118792971
49,50,0.226666666666667,3.19183673469388,0.459292541225451,-0.158536585365854,0,0.3,4,0.0101613174252478,2.25945634037608,0.0230794030609248,2.25952712623776,0.0230353952532069,12010,2710.52370871575,0.145562464784551,0.017844492481486,5.62886698783683,0.0980114945541978,7.28,2.09021041807679,0.0192915926923951,0.0224507310255971
50,50,0.208,3.14857142857143,0.604884571088534,-0.218492414287421,0,0.3,4,0.00878683430836887,2.26313417472681,0.0126739089569103,2.26319728527461,0.0126546181802417,12010,2906.71284991083,0.149210527035883,0.0152697500688947,5.75645323280273,0.120122369842361,7.32,1.31614774928926,0.0181792665322411,0.0222075184966994
51,50,0.179142857142857,3.09061224489796,0.48540743659373,-0.107261223260018,5,0.3,4,0.00456547406581873,1.88775332206288,0.0476252172842064,1.88835502410396,0.0475413524706346,12015,3428.57142857143,0.440298330962001,0.0268567773620506,5.06491470368814,0.176271791876892,4,0,0.0127775846294126,0.120618346428844
52,50,0.262,3.25142857142857,0.581977123560402,-0.156677181913775,5,0.3,4,0.00581452462978246,1.95410518183477,0.0317630390958132,1.95460647655338,0.0317064106901278,12015,2777.46029931765,0.399477032502475,0.0161286242996746,5.3365935802305,0.131467353363436,4,0,0.0139181128538209,0.106998019116379
53,50,0.278666666666667,3.12979591836735,0.512793940172633,-0.0972716488730727,5,0.3,4,0.0046865943802561,2.03674803865938,0.0340778086847764,2.03713160308654,0.0340351705289225,12015,3207.13490294909,0.364231306608626,0.0212028000833445,5.16444228196613,0.0868246808194247,4,0,0.0133032751779713,0.0932818673755259
54,50,0.243904761904762,3.25142857142857,0.61058677874128,0.00598096200825538,5,0.3,4,0.00668001940804067,1.92183236225465,0.0607244344248365,1.92238108801932,0.0606373508992922,12015,3149.34395500694,0.419526119105349,0.0370188469168662,5.13184794597434,0.133947321445044,4,0,0.0159266720259019,0.113478232135164
55,50,0.164,3.14122448979592,0.582396254151364,-0.0840108401084011,5,0.3,4,0.00851936054394748,2.06042303542374,0.033286313456819,2.06078697845874,0.0332267210153321,12015,3374.57480314792,0.340336322681416,0.0268598433628191,4.99115765221578,0.248978863830202,4,0,0.0175947210417389,0.0854623757768458
56,50,0.210476190476191,3.10040816326531,0.569522853239514,0.0332072299285415,20,0.3,4,0.00187581196209684,1.41507305574369,0.0479762009878585,1.41633059181127,0.0479010249246544,12030,2842.82124887606,0.642191751774368,0.0166816199909147,4.50839200054094,0.0656537809066613,4,0,0.00807312038169512,0.190937299476682
57,50,0.148,3.02448979591837,0.509814994290784,-0.159291048935458,20,0.3,4,0.00091329622839295,1.1817733492951,0.0226943404857966,1.18339924596597,0.022676821297813,12030,2906.71284991083,0.722796654864437,0.00796450853255936,4.57559566264679,0.0478623336677026,4,0,0.00525089683911279,0.21904817615022
58,50,0.232428571428571,3.04571428571429,0.587767918620694,-0.198318589622938,20,0.3,4,0.00140584131916463,1.28161284742342,0.0332286967306339,1.28307813183074,0.0331234326500693,12030,3374.57480314792,0.691982197558379,0.0108546322130208,4.43754433421651,0.0591574024460748,4,0,0.00666150131269055,0.20813734420365
