"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","density","path_type","ass_type","exp_type","size_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
439,50,0,4.4130612244898,0.47897737685635,-0.268695524793086,0,1.96,2.82813376663003,12.8123726568836,"unknown","unknown","unknown","small",0.0264085882300157,2.18904033941142,0.0809433805387482,2.18961020310817,0.0804747019426787,5890,5875.02496738073,0.180955740894076,0.0288410192685626,6.13030775481446,0.395547989602666,7.52,1.87616630392937,0.0313180792280411,0.0361807350763259
440,50,0,4.42612244897959,0.496063469422641,-0.291585127201566,0,1.96,2.82565061540705,13.5095115635772,"unknown","unknown","unknown","small",0.0314919499558105,2.21771546272088,0.0304392913137783,2.21812761707976,0.0302604324366848,5890,5843.67790253462,0.179512731038297,0.0251697872085528,5.47841624082555,0.400269004551872,4.68,1.54444362877024,0.0336253896244817,0.0218874925930742
441,50,0,4.50857142857143,0.478661996453471,-0.325136612021858,0,1.96,2.83665364599981,10.7049766879146,"unknown","unknown","unknown","small",0.0276076514896409,2.22334775769569,0.0353650265329327,2.22371393434646,0.0351839017975696,5890,5385.69533911029,0.181064620040115,0.0274372809300163,5.46867555689262,0.279425340231413,7.3,2.63609172674942,0.0317983401865238,0.0234093115438231
442,50,0,4.56244897959184,0.520506500508361,-0.253265435295472,0,1.96,2.8497843252356,11.6427799362473,"unknown","unknown","unknown","small",0.0251581626735519,2.22356813659966,0.0314628407195204,2.22393587853535,0.0312936240962507,5890,5780.47381717281,0.173789631787544,0.0278676828501293,5.33905566559411,0.286133955299968,4.66,2.95966076379282,0.0305236766212707,0.0255430840340788
443,50,0,4.49714285714286,0.444324703065575,-0.297377679445795,0,1.96,2.82326560904387,13.4388952243418,"unknown","unknown","unknown","small",0.0305353544419814,2.22425321623942,0.0256729923175911,2.2246298061382,0.0255265982972837,5890,5937.22260361678,0.18036840904768,0.0188760403492782,5.50565043483182,0.316361986725212,6.56,2.79328641202291,0.0335368946544664,0.0203912496879395
444,50,0,4.43265306122449,0.469940968168288,-0.327739262766317,0,1.96,2.86364534817786,10.5959993538084,"unknown","unknown","unknown","small",0.0380075682429612,2.20224048444679,0.0500419813702387,2.20272229240982,0.0497558164273916,5890,5553.59784100288,0.183918325147172,0.0293337114699623,5.4926663035442,0.194153291697688,5.06,2.00417930681802,0.037947981464647,0.0238819336906775
445,50,0,4.56081632653061,0.383017850487155,-0.312215625947913,0,1.96,2.82565061540705,12.0986547936437,"unknown","unknown","unknown","small",0.0363662350708382,2.1892714745019,0.0381072955291214,2.18982407544615,0.0378571327773529,5890,5748.61118986533,0.199425964839809,0.0267989772702756,5.59056183191791,0.475335045392279,5.16,2.18865348596635,0.0364116520143936,0.0308082708876132
446,50,0,4.43183673469388,0.448199545920997,-0.272569444444445,0,1.96,2.86722058014702,13.6963092980942,"unknown","unknown","unknown","small",0.0211520154948402,2.23254718013059,0.0268479420444471,2.23288171339775,0.0266873044714027,5890,5619.35430962872,0.163880728861201,0.0158659613885132,5.1945438014835,0.282299866162292,4.88,1.97577161367091,0.0284893037360533,0.0244003011556403
447,50,0,4.46285714285714,0.480893229250956,-0.333164343050274,0,1.96,2.88903618003486,9.49316802481104,"unknown","unknown","unknown","small",0.0321553753024249,2.22308551102221,0.0290130846714989,2.22345565918606,0.028847464746549,5890,5684.35015940203,0.185104538602732,0.0130175835789839,5.4967806315093,0.358649813920004,6.2,2.9485382057929,0.0346166159393844,0.01983048427729
448,50,0,4.45142857142857,0.461028680032232,-0.327653125346542,0,1.96,2.8581224579526,10.0069418761968,"unknown","unknown","unknown","small",0.0217884460734655,2.22797094761118,0.0232925570977298,2.22832809382557,0.0231637267544212,5890,6720.78712591291,0.177254699292375,0.0198563841760176,5.22678760548589,0.259798741699361,3.08,1.89349046008924,0.0284273673723928,0.0266520748217733
449,50,0,4.46040816326531,0.49604379400818,-0.292682926829268,0,1.96,2.8114745517561,12.9641036628769,"unknown","unknown","unknown","small",0.0233420683622917,2.22459108696169,0.0495538291260756,2.22495451271193,0.0493100993414599,5890,5619.35430962872,0.176974748345718,0.0343431715134154,5.3504753049513,0.300500914017466,3.6,2.25876975726313,0.0296858711332416,0.0265698422231298
450,50,0,4.58775510204082,0.519299543823381,-0.305367101197031,0,1.96,2.86508004579804,12.0971063707799,"unknown","unknown","unknown","small",0.0307791740119888,2.18523913046954,0.0420844412117067,2.18580351590267,0.0418124788664146,5890,5651.94566462898,0.198070844308134,0.0328522993124342,5.9039759723017,0.233587174968744,6.06,2.23524641384619,0.0339290486760708,0.0355786830380998
451,50,0,4.5134693877551,0.489177036894412,-0.324078373107995,0,1.96,2.83307195867665,11.2885099221692,"unknown","unknown","unknown","small",0.0348606127443414,2.22085881452759,0.0333923723983069,2.22123702963199,0.0332169083376095,5836.92307692308,5554.44056181639,0.186038659474031,0.0319354741916219,5.52392813446929,0.325197041930164,5.44230769230769,3.2079158314863,0.0360490132881709,0.0182140857564572
452,50,0,4.54775510204082,0.505167906482043,-0.255540166204986,0,1.96,2.82665821091454,12.0903317718051,"unknown","unknown","unknown","small",0.0353967918077368,2.20006311425948,0.0625694134139953,2.20054114488119,0.0622464963769107,5890,5069.47648547014,0.191571666161098,0.0333362406952697,5.65335114297366,0.373281957595025,6.8,2.37332110369088,0.0375551027976887,0.0268461995413133
453,50,0,4.41387755102041,0.416485822193486,-0.285390178191615,0,1.96,2.81935061519144,12.3752979670823,"unknown","unknown","unknown","small",0.0371348699198337,2.1967200891707,0.0430024640689215,2.19722584557851,0.0427662711443684,5890,5553.59784100288,0.192571430408163,0.0368326475230883,5.70591138945193,0.369962361584792,6.64,1.65072649436049,0.0378709918404787,0.0275976587011432
454,50,0,4.58204081632653,0.555838570208302,-0.333496945898779,0,1.96,2.83714398529703,10.1816639636009,"unknown","unknown","unknown","small",0.0273992133810733,2.21631295053385,0.0391162994071116,2.21672268587759,0.0389071837081166,5890,5212.38712988941,0.176055278237273,0.0218204557301268,5.29737390782108,0.3310288801293,4.56,2.54878922836162,0.0318719792169848,0.0259790135432619
455,50,0,4.41959183673469,0.488661762540719,-0.304794520547945,0,1.96,2.82788580424335,12.8718822140315,"unknown","unknown","unknown","small",0.0282920061586669,2.19523158836779,0.0253035075118945,2.19574868438564,0.0251457318767856,5890,5141.42837296074,0.185146212043215,0.016363603261255,4.9721926009695,0.303307048241219,4.38,2.95469187592085,0.0324207189961814,0.0333333661220597
456,50,0,4.44244897959184,0.485332926946817,-0.260327357755261,0,1.96,2.83487889103893,12.0903317718051,"unknown","unknown","unknown","small",0.0315888684930305,2.18765092667444,0.048915101794945,2.18820857477108,0.0486054084874651,5890,5351.48272415587,0.195825490959239,0.0226166753265791,5.78581505684979,0.312701833976348,5.56,3.18901174635142,0.0339762750938593,0.0340131341051961
457,50,0,4.44571428571429,0.482975172179632,-0.27865668280599,0,1.96,2.81684994528242,11.9591039747077,"unknown","unknown","unknown","small",0.0265375261875236,2.21588040530725,0.0225375142441911,2.21628487820108,0.0223980316327372,5890,6029.31613545222,0.190540999386899,0.0217473860864307,5.01033220857791,0.172706021467298,2.8,2.08003139693729,0.0318195766820128,0.0283958479657201
458,50,0,4.46204081632653,0.53407449190608,-0.294166113565103,0,1.96,2.87515321543339,13.2908219972059,"unknown","unknown","unknown","small",0.0402509010656409,2.18423476371594,0.0402331136592754,2.18481065108602,0.0399727039824527,5890,6297.52137830465,0.191354888084796,0.0183571530741167,5.65853373506108,0.317639383711488,5.18,2.42175514022035,0.0391115242318765,0.0290191924351324
459,50,0,4.56326530612245,0.500856668351868,-0.316101576670852,0,1.96,2.84735779587945,11.1477822628285,"unknown","unknown","unknown","small",0.0289261934570245,2.2178755252966,0.0359006091772161,2.21827073734906,0.0357333391570586,5890,5684.35015940203,0.177853865847051,0.0265031681438439,5.46329343090659,0.211674255020337,5.06,2.44456915781635,0.0316252717213032,0.0246938759763372
460,50,0,4.53469387755102,0.570419671877806,-0.258915346929475,0,1.96,2.82043233373657,12.0903317718051,"unknown","unknown","unknown","small",0.0246066843288514,2.2205153972416,0.0274857890253181,2.22090234845889,0.0273226918849184,5890,5247.50669657622,0.178326781989099,0.0217242750118677,5.43270552209257,0.200911100342238,6.36,2.22930390892928,0.0310582300987887,0.0270538377169425
