"rep_id","size_net","clus_coeff","pathlength","connec","init_mode","assortativity","init","neighbors","path_type","neigh_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
559,50,0.0286666666666667,4.69224489795918,0.06,0.616400524635472,-0.013317191283293,5,2.48,"big","unknown",0.00883875210725784,2.00217646780091,0.0548722620522405,2.00301529680095,0.0546149482486533,7455,3332.95235918119,0.372500823810225,0.033280660877926,5.00841863570901,0.118007191957589,4,0,0.0183214098753191,0.0971057506959491
560,50,0.026,4.69224489795918,0.06,0.54819100023972,-0.074167802219194,5,2.48,"big","unknown",0.0161697322205154,1.97988049956684,0.0931045680967511,1.98086432065606,0.0926642529493854,7455,3597.95860488263,0.378655745202792,0.0546127226023296,4.96236287635864,0.248843701884123,4,0,0.0246870334034933,0.0988572423225912
561,50,0.092,4.69551020408163,0.06,0.520721301535109,-0.196641556811048,5,2.44,"big","unknown",0.0183055239662317,1.87168597977144,0.069755510462927,1.87309228198933,0.0694981725196953,7335,4701.02029741786,0.430804614190244,0.0423982779773065,5.1126455245499,0.253863371614183,4,0,0.0260333920655853,0.117270200219208
562,50,0.0286666666666667,4.70040816326531,0.06,0.515420444202572,-0.147155618241655,5,2.44,"big","unknown",0.0164156884084106,1.92278182385826,0.111584724019974,1.92387771997021,0.111220670260289,7335,3328.54077239102,0.407994595087727,0.0580211936433368,4.9664605992133,0.247243921928059,4,0,0.0250045625944954,0.109416634726511
563,50,0.0386666666666667,4.70040816326531,0.06,0.587979789331052,-0.0888320545609547,5,2.48,"big","unknown",0.0146427570897968,1.90825633725086,0.0636837942398841,1.90940870226785,0.0634340909209239,7455,3698.64840178139,0.416174842605621,0.0321080370749962,4.73456581899976,0.129041501358092,4,0,0.0222448381963514,0.112248726594032
564,50,0.0106666666666667,4.70285714285714,0.06,0.621039356931932,-0.0273417195134629,5,2.44,"big","unknown",0.0259708973855543,2.01927253379852,0.149618971934472,2.02023713433011,0.148958338941413,7335,4377.3069719327,0.338038757987669,0.0720104953400288,4.8086834769417,0.224271577083676,4,0,0.0318078598993978,0.0853264702795852
565,50,0.0406666666666667,4.71265306122449,0.06,0.483084600292878,-0.114807872539831,5,2.44,"big","unknown",0.0102914936950382,1.92351086417001,0.0523033819170929,1.92469251904385,0.0521011076483196,7335,3935.39666854251,0.40610935119914,0.0279395983878912,4.73021128586129,0.227819885640831,4,0,0.0195147898787455,0.109735466649454
566,50,0.012,4.71510204081633,0.06,0.518564112249098,-0.0579052459611544,5,2.48,"big","unknown",0.0110545389297313,1.95686125713084,0.0544611657023508,1.95790967692333,0.0541971451854458,7455,3597.95860488263,0.380740209249539,0.0310336259200683,5.28413531716546,0.232410869309765,4,0,0.0197968165139912,0.101917305172187
567,50,0.0407142857142857,4.75102040816327,0.06,0.566070461152928,-0.019317714755446,5,2.48,"big","unknown",0.0115082832590124,1.95822977124911,0.0754666800108601,1.95921028560173,0.0751377297854971,7455,3844.74197005814,0.396404125775126,0.0394632221977207,5.17209718295462,0.23819707254988,4,0,0.0206423738946164,0.105106706000439
568,50,0.0153333333333333,4.7534693877551,0.06,0.551272149123626,-0.0947442023074236,5,2.44,"big","unknown",0.0106625605452444,1.90590718123915,0.0779045368294646,1.90712276312424,0.0774024756792678,7335,3981.79530834409,0.426516598652161,0.0311717248274019,4.75938165307098,0.175427687554279,4,0,0.0198832776308622,0.115292392205115
