"rep_id","size_net","neighbors","init","time","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
12743,150,"4",5,2366,0.0204139948673507,1.90104010669479,0.0767106299897094,1.9016478936654,0.0765889340482405,9415.90666666667,10531.0563396468,0.419038895189669,0.046980187223431,5.17071886138553,0.233527955907988,4,0,0.0275762508426337,0.11259335153954
12745,150,"4",5,2367,0.0204121088248886,1.90101164842805,0.0766918571886172,1.90161924523296,0.0765701496037278,9419.88,10535.5073355638,0.419055899640866,0.0469766319668823,5.17070193279192,0.233509711189726,4,0,0.0275746273641813,0.112599176285185
12747,150,"4",5,2368,0.0204181792268789,1.90093804135939,0.0767632112835174,1.9015454896629,0.076641425867921,9423.85333333333,10539.9583314808,0.41908984792041,0.0470186021520401,5.17051411336455,0.233395168448757,4,0,0.0275792723978162,0.112610990041515
12749,150,"4",5,2369,0.0204143318328675,1.90090882963238,0.0767891294212366,1.9015160562265,0.0766673171023304,9427.82666666667,10544.4093273978,0.419110689591096,0.0470471226309594,5.17047371430037,0.233533349388784,4,0,0.0275781600801097,0.112618458892838
12751,150,"4",5,2370,0.0204104148689986,1.90086094048742,0.0768440085665045,1.90146796601887,0.0767221684991781,9431.8,10548.8603233148,0.419142539346167,0.0470751799718257,5.17041879935137,0.233473792807998,4,0,0.0275770782342334,0.112629521062412
12753,150,"4",5,2371,0.0204041359022085,1.90080647309963,0.0768195143266294,1.90141330559326,0.0766977686052801,9435.77333333333,10553.3113192318,0.419179898077283,0.0470730016018589,5.17041029082518,0.233491775514373,4,0,0.0275736429860998,0.112642482320223
12755,150,"4",5,2372,0.0203962473544707,1.90079973321233,0.0768276129148618,1.90140630464007,0.0767059199189397,9439.74666666667,10557.7623151488,0.41919707356957,0.0470735645645503,5.17026998892825,0.233395941723681,4,0,0.0275682072596295,0.112647869155052
12757,150,"4",5,2373,0.0203882499063483,1.90082221529615,0.0767820525417422,1.90142849226953,0.0766604435365369,9443.72,10562.2133110658,0.419194323136614,0.0470375676768692,5.17028061163084,0.233392763939569,4,0,0.0275613392407221,0.112646811452007
12759,150,"4",5,2374,0.0203798672737583,1.90090055061176,0.0767561731246317,1.90150643655396,0.0766346939868098,9447.69333333333,10566.6643069828,0.419163428892231,0.0470216013907726,5.17031282966287,0.233188725400961,4,0,0.0275557901035632,0.112635969275597
12761,150,"4",5,2375,0.0203764114351592,1.90091370252443,0.0767118528468928,1.90151932716888,0.0765904893920383,9451.66666666667,10571.1153028999,0.419151935823879,0.0469772330941441,5.17054068364384,0.232907303919883,4,0,0.0275509449587673,0.11263264458074
12763,150,"4",5,2376,0.0203733531403547,1.90091305479798,0.0767777918109633,1.90151843128117,0.076656350188998,9455.64,10575.5662988169,0.419154017213975,0.0470097087632186,5.17063066240377,0.232818825733628,4,0,0.02755055287802,0.112633759363112
12765,150,"4",5,2377,0.020382743243358,1.90094735401213,0.0767836546950706,1.90155243639177,0.0766622897175902,9459.61333333333,10580.0172947339,0.419126016508813,0.0470218644403374,5.17074855930915,0.232902122596366,4,0,0.0275551935588271,0.112623906880282
12767,150,"4",5,2378,0.0203829215998279,1.90092229717388,0.0767944249515528,1.90152715467461,0.0766731103254883,9463.58666666667,10584.4682906509,0.419140260758255,0.0470217000787693,5.1706729490474,0.23288047436781,4,0,0.0275546875255461,0.112628797690794
12769,150,"4",5,2379,0.0203964425472862,1.90093321954032,0.0768244885515656,1.90153782807326,0.0767031883507435,9467.56,10588.9192865679,0.419118739483846,0.0470421400320074,5.17082803216357,0.232992900951697,4,0,0.0275644902926209,0.112621209401754
12771,150,"4",5,2380,0.0203978332259206,1.90085428018374,0.0768203109053477,1.90145877464102,0.0766989521034638,9471.53333333333,10593.3702824849,0.419160459336194,0.0470474952023254,5.17074931719301,0.232953275757506,4,0,0.0275653164215937,0.112635518101915
12773,150,"4",5,2381,0.0203914162211305,1.9008188876908,0.076747473133567,1.90142320141231,0.0766261865894174,9475.50666666667,10597.8212784019,0.419183169458875,0.0470016070400731,5.17074205071457,0.232904223459715,4,0,0.0275593656421068,0.11264348345068
12775,150,"4",5,2382,0.0203950993874759,1.90088449124771,0.0767506699553002,1.90148846381767,0.07662948353284,9479.48,10602.2722743189,0.41913867982594,0.047005982142997,5.17088628664726,0.232845737239981,4,0,0.0275616451672966,0.112628576129946
12777,150,"4",5,2383,0.0203877515897407,1.90088634702029,0.0767350994926328,1.90149007034482,0.0766139699962999,9483.45333333333,10606.7232702359,0.419142916859094,0.0469857388513,5.17088228227145,0.232939103223298,4,0,0.0275562089661451,0.112630161217045
12779,150,"4",5,2384,0.0203911307955603,1.90082569155665,0.0767063480162749,1.90142926866931,0.0765852545445624,9487.42666666667,10611.174266153,0.419165838686507,0.0469700743395687,5.17098171136205,0.233026342996348,4,0,0.0275568882640649,0.112638744677584
12781,150,"4",5,2385,0.0203926016466574,1.90081253259077,0.0766960009092333,1.90141588946756,0.0765749361916499,9491.4,10615.62526207,0.419168503627728,0.0469633629971182,5.1709596760574,0.233194452823658,4,0,0.0275566156040184,0.112639881534551
12783,150,"4",5,2386,0.020398172375387,1.90076567601267,0.0766729922705686,1.9013688574906,0.0765519804684406,9495.37333333333,10620.076257987,0.419191389294915,0.0469431072161907,5.1706996259052,0.233145670886974,4,0,0.0275612704303013,0.112646888122414
12785,150,"4",5,2387,0.0203856653659915,1.9007849288049,0.076663529656978,1.90138782682366,0.076542600762297,9499.34666666667,10624.527253904,0.419191291034377,0.0469286103355996,5.17072142649165,0.232946591345867,4,0,0.0275522191288084,0.11264726437347
12787,150,"4",5,2388,0.0203825367600839,1.90076493293719,0.0767028920619964,1.901367590218,0.0765819661807352,9503.32,10628.978249821,0.419210191049222,0.0469413132974334,5.17057871610314,0.232895073327229,4,0,0.027549018217663,0.112653517669046
12789,150,"4",5,2389,0.0203875687516274,1.90081094928871,0.0766959615590866,1.90141328451238,0.0765751447150851,9507.29333333333,10633.429245738,0.419183160812158,0.0469448447797877,5.17056005696369,0.233019637047838,4,0,0.0275525344126114,0.11264368620184
12791,150,"4",5,2390,0.0203801249633698,1.90083637419935,0.076645311721978,1.90143841807184,0.0765247138323867,9511.26666666667,10637.880241655,0.419176076519686,0.0469211640712946,5.17055488046364,0.232946579570904,4,0,0.0275464941789661,0.112641377385151
12793,150,"4",5,2391,0.0203792024795631,1.90082584122171,0.0765986004879925,1.9014276568658,0.0764781276796658,9515.24,10642.331237572,0.419184526962117,0.0468979328784318,5.1703909682652,0.232950493744021,4,0,0.027545004529951,0.112643767874745
12795,150,"4",5,2392,0.0203795020565054,1.9008226009711,0.076668847560101,1.90142415020568,0.076548336684326,9519.21333333333,10646.782233489,0.419189547285696,0.0469353360482094,5.17037299591914,0.233263881725673,4,0,0.0275480073940492,0.112645433086619
12797,150,"4",5,2393,0.0203767938565176,1.90083428248806,0.0766578376851846,1.90143557068759,0.0765373793361302,9523.18666666667,10651.233229406,0.41918743447888,0.0469387231464018,5.17034603544146,0.233301594319063,4,0,0.0275467725208496,0.11264465307411
12799,150,"4",5,2394,0.0203862260114602,1.9008269773989,0.0766635364560243,1.90142804983675,0.0765431197982313,9527.16,10655.6842253231,0.419174749851926,0.0469378784715085,5.17046797813278,0.233340862507695,4,0,0.0275519839603191,0.112640783430845
12801,150,"4",5,2395,0.0203906550451204,1.90082571236958,0.0766328765312092,1.90142654463376,0.0765125516216201,9531.13333333333,10660.1352212401,0.419170996131749,0.0469178750747848,5.17039846415576,0.23325576686813,4,0,0.0275548218166041,0.112639160951268
12803,150,"4",5,2396,0.0203846669426922,1.90076053352077,0.0765804567366339,1.90136123023259,0.0764601464123051,9535.10666666667,10664.5862171571,0.419211775211546,0.0468793950748671,5.17027634293242,0.233218342937454,4,0,0.0275497900811699,0.112653141224007
12805,150,"4",5,2397,0.0203802294384004,1.90084421788023,0.0766118011923922,1.90144449556825,0.0764914761365547,9539.08,10669.0372130741,0.419184626754853,0.0469013704922734,5.170209962976,0.233232924840562,4,0,0.0275470608691576,0.112642885310275
12807,150,"4",5,2398,0.0203733436770952,1.90079875948298,0.0766049877153543,1.90139883583576,0.0764847599797464,9543.05333333333,10673.4882089911,0.419219173816473,0.0469092658580197,5.17008678325174,0.233133203896415,4,0,0.0275429082178666,0.112654807852314
12809,150,"4",5,2399,0.0203642208412659,1.90086274558278,0.0765871238650983,1.90146247391905,0.0764669714076045,9547.02666666667,10677.9392049081,0.419195081019601,0.0468917495388566,5.17009073384356,0.233069026073422,4,0,0.0275369559668629,0.112646389646596
12811,150,"4",5,2400,0.0203656086961724,1.90087439096517,0.0765864951441173,1.9014738344882,0.076466427289094,9551,10682.3902008251,0.419188808173457,0.0468946901295814,5.1700757309786,0.233054000660692,4,0,0.0275378053387904,0.112644053601568
12813,150,"4",5,2401,0.0203629716180936,1.90080109665432,0.0765489652826813,1.90140041281312,0.0764289077372136,9554.97333333333,10686.8411967421,0.419229368192314,0.0468764456141387,5.16989113233021,0.233043099100491,4,0,0.0275341680170826,0.112658278899052
12815,150,"4",5,2402,0.0203720813888493,1.90080156791615,0.0766102576787399,1.90140065375006,0.076490165138011,9558.94666666667,10691.2921926591,0.419216256169162,0.0469065141755737,5.16988719228626,0.233157187190667,4,0,0.0275417910510612,0.112653942287947
12817,150,"4",5,2403,0.0203703092176399,1.90074542415036,0.0765966114155201,1.90134435750279,0.0764765494295137,9562.92,10695.7431885762,0.419249374859072,0.0468990817969483,5.16967160541329,0.233204311695048,4,0,0.0275401057398088,0.112665113795561
12819,150,"4",5,2404,0.0203771228831443,1.90071925089814,0.0766241807257853,1.90131799752837,0.0765040796441448,9566.89333333333,10700.1941844932,0.419250977851857,0.0469151619386186,5.16972133944062,0.233410221374968,4,0,0.0275447274392728,0.112666198744847
12821,150,"4",5,2405,0.020371142502209,1.90071655879809,0.076631459134033,1.90131503118744,0.0765114549284166,9570.86666666667,10704.6451804102,0.419260538349914,0.0469406279419866,5.1698762917911,0.233344597642228,4,0,0.0275420481145016,0.112669860826963
12823,150,"4",5,2406,0.0203777464732373,1.90067860978277,0.0766730058402891,1.90127691038486,0.0765529351801595,9574.84,10709.0961763272,0.419273745029599,0.0469625228007814,5.16987479380354,0.233392732639916,4,0,0.0275485754782418,0.112674290933964
12825,150,"4",5,2407,0.0203844196118807,1.90070027920137,0.0766928091428822,1.90129828765049,0.0765727393704051,9578.81333333333,10713.5471722442,0.419256087952628,0.046974284597966,5.16995231203035,0.233489600455618,4,0,0.0275532529328561,0.112668220982666
12827,150,"4",5,2408,0.020388983319215,1.90075220163135,0.0767005131348918,1.90134988039741,0.0765805745192584,9582.78666666667,10717.9981681612,0.419220500040585,0.0469770361128962,5.17005436627834,0.233532635474711,4,0,0.0275552078487418,0.112656134845414
12829,150,"4",5,2409,0.020392640354475,1.9007107973748,0.0767528269949311,1.90130829281409,0.0766328156075792,9586.76,10722.4491640782,0.419241567210808,0.0470059556428055,5.1698970794474,0.233606342137902,4,0,0.0275602930435633,0.112663130770455
12831,150,"4",5,2410,0.0203885537898671,1.90071144318973,0.0767334854884146,1.90130869064469,0.076613560200564,9590.73333333333,10726.9001599952,0.419244396242254,0.0470022834918406,5.16991060072114,0.233353214773763,4,0,0.0275576834513234,0.112664334335008
12833,150,"4",5,2411,0.0203903830838787,1.90068605407534,0.0767436328599886,1.90128309988948,0.0766237408206309,9594.70666666667,10731.3511559122,0.419255549682029,0.047010543061535,5.1698458332498,0.233300757707107,4,0,0.0275586913724824,0.112668162503883
12835,150,"4",5,2412,0.020391863412833,1.90072499782089,0.0768342701996794,1.90132173008926,0.0767142685256239,9598.68,10735.8021518292,0.41923944357074,0.0470446513850135,5.16955912453404,0.233233300676858,4,0,0.0275617462512689,0.112661933772233
12837,150,"4",5,2413,0.0203829021450307,1.90080717975607,0.0767805149311989,1.90140351274246,0.0766608311630803,9602.65333333333,10740.2531477463,0.419203153905394,0.0470294345192233,5.16980504923139,0.233133270672917,4,0,0.0275549949673945,0.112649827278474
12839,150,"4",5,2414,0.0203777300284188,1.90081682085085,0.0767089815914101,1.90141288506326,0.0765894946916457,9606.62666666667,10744.7041436633,0.419205026587671,0.0469888656188956,5.16967480733967,0.23307120106053,4,0,0.0275503564493319,0.11265007517073
12841,150,"4",5,2415,0.0203767512599113,1.90081804990103,0.0767123323222832,1.90141386965024,0.0765928749217872,9610.6,10749.1551395803,0.419204508579407,0.0469911792364101,5.16965228685917,0.233162959401389,4,0,0.0275488726283385,0.112650097229855
12843,150,"4",5,2416,0.0203765974431647,1.90082423281234,0.0767137634877846,1.90141980796274,0.0765943283234128,9614.57333333333,10753.6061354973,0.419198640863892,0.0469832305645826,5.16993014722192,0.233075247428547,4,0,0.0275475399228383,0.112648163808296
12845,150,"4",5,2417,0.0203699641864559,1.90095091981394,0.0767311648927507,1.90154603113639,0.0766118809862946,9618.54666666667,10758.0571314143,0.41914289138042,0.0469856902898397,5.16991643327759,0.233083264954176,4,0,0.0275450556416885,0.112628301599399
12847,150,"4",5,2418,0.0203742104187323,1.9009609704585,0.0767150453902869,1.90155582471662,0.0765958564984772,9622.52,10762.5081273313,0.419131636012058,0.0469843641672555,5.16999454464722,0.232864312260926,4,0,0.0275482616372036,0.112624425297691
12849,150,"4",5,2419,0.0203767457805365,1.90091070651923,0.0766909631988958,1.90150539276244,0.0765717924812276,9626.49333333333,10766.9591232483,0.419153694878369,0.046973226654601,5.16992861622585,0.232930687688626,4,0,0.0275504396187618,0.112632371983022
12851,150,"4",5,2420,0.0203776194532559,1.90087395090212,0.0766746438728685,1.90146846448245,0.0765554694356053,9630.46666666667,10771.4101191653,0.419170208886645,0.0469640863372036,5.16986731140287,0.232812950614748,4,0,0.0275503653774237,0.112638273598793
