"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","clus_type","mean_mean","mean_sd","sd_mean","sd_sd"
"15",15,150,0.592799788811287,1.68152125279642,0.581761241570566,-0.00493145233671958,"0.1",0.1,"48","big",0.4990905093767,6.95791822490334e-07,0.00028431178085803,3.08578938393875e-08
"16",16,150,0.587975212288002,1.68402684563758,0.514283104921518,-0.00524696386573779,"0.1",0.1,"48","big",0.486401326965358,6.95481641642988e-07,0.00167199630424816,2.71512157016254e-08
"17",17,150,0.581293827380476,1.68250559284116,0.567682691123198,0.00635779225339449,"0.1",0.1,"48","big",0.490358034074877,6.95767851415388e-07,0.00137463292344413,3.07381214377685e-08
"18",18,150,0.592117912997353,1.68527964205817,0.577831467143708,0.0114568541947019,"0.1",0.1,"48","big",0.50822230906528,6.95557791561887e-07,0.0017296040030704,2.81738226013003e-08
"19",19,150,0.565031499139406,1.68116331096197,0.550131332844254,-0.00549909508561891,"0.1",0.1,"48","big",0.500285326921367,6.9565207548021e-07,0.000629256113621823,2.92456011088295e-08
"20",20,150,0.583312134574362,1.68241610738255,0.563323709008777,-0.00738642946527751,"0.1",0.1,"48","big",0.497521336779468,6.95530048711901e-07,0.000748675000611306,2.757046185285e-08
"21",21,150,0.584518635362827,1.68214765100671,0.539051629469358,-0.0110207200965651,"0.1",0.1,"48","big",0.496311655070959,6.95713009829416e-07,0.00163696854887416,2.97326112845925e-08
"22",22,150,0.588136677957695,1.68420581655481,0.54709725907035,-0.0137773568798425,"0.1",0.1,"48","big",0.510471244635852,6.96044507215928e-07,0.000124727211772564,3.37428651440725e-08
"23",23,150,0.572574644941993,1.68286353467562,0.598005973899294,0.0272697910642636,"0.1",0.1,"48","big",0.506078467210308,6.95733312224315e-07,0.000278414531465787,2.98913023298345e-08
"24",24,150,0.580253107322273,1.68178970917226,0.536573649071292,0.00892351660840989,"0.1",0.1,"48","big",0.4909050952899,6.95950997749678e-07,0.00103477733540555,3.2530855677954e-08
"25",25,150,0.580044284756757,1.68250559284116,0.566634320323128,-0.011784870970699,"0.1",0.1,"48","big",0.504620016724647,6.9594609602621e-07,0.00147752693379642,3.2587813014741e-08
"26",26,150,0.571348193789701,1.6807158836689,0.557410244403015,-0.00346915864206305,"0.1",0.1,"48","big",0.499147005402426,6.96046971744565e-07,0.00081482443230751,3.3378537681171e-08
"27",27,150,0.588205031115231,1.68510067114094,0.569090479844846,-0.0201556716992936,"0.1",0.1,"48","big",0.490537113671269,6.95724199678925e-07,0.000389132262973437,3.00964591432588e-08
