"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","family","rewire","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
3855,150,0.442753769029957,"1.5576733780760625",0.478397395520306,-0.0271459591043507,0.5,7,0.1,65.9066666666667,0.511443210218921,5.10632764895403e-07,1.57761131841346e-05,5.09240938670885e-08
3856,150,0.450102608022429,"1.549082774049217",0.522395080650339,0.00278913196702562,0.5,7,0.1,67.1866666666667,0.530538429111462,5.00116777872789e-07,1.6356216153295e-05,4.6392079071514e-08
3857,150,0.452140177016807,"1.5460402684563759",0.540235257756302,-0.0151015661339503,0.5,7,0.1,67.64,0.526961850137602,4.96244248148741e-07,1.3930305830586e-05,4.22889906178861e-08
3858,150,0.44432035573231,"1.5570469798657718",0.511213707699482,-0.0262095062125297,0.5,7,0.1,66,0.495898739016425,5.09694293318125e-07,1.79773302011635e-05,4.96637264935125e-08
3859,150,0.446264100199531,"1.5535570469798659",0.515695740341121,-0.0112650063715902,0.5,7,0.1,66.52,0.501094050730842,5.05431774981424e-07,1.64532501018253e-05,4.83480977868916e-08
3860,150,0.450289862743336,"1.5508724832214764",0.500704783976087,-0.0200851988584719,0.5,7,0.1,66.92,0.495588889599678,5.02305999779571e-07,1.67510453267264e-05,4.71721913819914e-08
3861,150,0.45037378285849,"1.5501565995525728",0.494566844314452,-0.0300831537551223,0.5,7,0.1,67.0266666666667,0.52036214589036,5.01503364894298e-07,1.50495889047252e-05,4.79213351467465e-08
3862,150,0.440640903038525,"1.559910514541387",0.479768380661783,-0.0326898227958803,0.5,7,0.1,65.5733333333333,0.487466904218894,5.12770301957236e-07,1.79849610825045e-05,4.85915015923634e-08
3863,150,0.443227131280985,"1.556599552572707",0.500476152508874,-0.0235086476312095,0.5,7,0.1,66.0666666666667,0.526219873248474,5.08360610154484e-07,1.65213059573436e-05,4.46648264601427e-08
3864,150,0.448626439632392,"1.5501565995525728",0.475160192581807,-0.0164425097248656,0.5,7,0.1,67.0266666666667,0.511802267730972,5.01343935951055e-07,2.11796409991929e-05,4.57774135436201e-08
3865,150,0.452878075848504,"1.5491722595078299",0.509769415771959,-0.0134906545789173,0.5,7,0.1,67.1733333333333,0.457327746135023,5.00885572379713e-07,1.8410664307e-05,4.97583851204937e-08
3866,150,0.451702222210955,"1.5475615212527964",0.513035562266446,-0.00274604202561666,0.5,7,0.1,67.4133333333333,0.489871582682539,4.97614285121763e-07,1.60046402043256e-05,4.04277130174002e-08
3867,150,0.447517864044853,"1.5510514541387024",0.50274506591226,-0.0180946765892097,0.5,7,0.1,66.8933333333333,0.500896965897493,5.01688617736489e-07,1.91851836421868e-05,4.16175308452877e-08
3868,150,0.449769765964963,"1.5498881431767337",0.449503387528708,0.00493029771119119,0.5,7,0.1,67.0666666666667,0.498029064767802,5.01147956109066e-07,1.68229877738353e-05,4.61031588984124e-08
3869,150,0.449213437218737,"1.5495302013422818",0.478490172025867,-0.00688959447252686,0.5,7,0.1,67.12,0.464506896579031,4.99822728957402e-07,1.89813522521959e-05,4.05343755566477e-08
3870,150,0.443799292673953,"1.5536465324384787",0.484969881537687,-0.0127363902120654,0.5,7,0.1,66.5066666666667,0.490857897460495,5.03918561221693e-07,1.4322872064874e-05,3.72480576682903e-08
3871,150,0.44691357644981,"1.5537360178970918",0.471249504734534,-0.023198880099556,0.5,7,0.1,66.4933333333333,0.517034828872755,5.05514811874885e-07,1.57170262658732e-05,4.6381253415729e-08
3872,150,0.457380798307568,"1.541565995525727",0.496220099600479,-0.0257147841007151,0.5,7,0.1,68.3066666666667,0.488099622515296,4.91311140824894e-07,1.41414241662056e-05,4.12972578792059e-08
