"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","density","path_type","neigh_type","mean_mean","mean_sd","sd_mean","sd_sd"
2730,50,0.008,4.75591836734694,0.611517022782234,-0.155211230300622,0.1,0.1,2.44,0.00468679021602775,"big","unknown",0.512061850285136,1.91396402325957e-05,0.0129543734518293,1.07833420895336e-05
2823,50,0.052952380952381,5.32408163265306,0.581451384499884,-0.0868902439024391,0.1,0.1,2.48,0.00150182164779976,"small","unknown",0.489677779660907,1.7580145875381e-05,0.0174361936660623,9.52661716403729e-06
2823,50,0.052952380952381,5.32408163265306,0.581451384499884,-0.0868902439024391,0.1,0.1,2.48,0.00150182164779976,"big","unknown",0.489677779660907,1.7580145875381e-05,0.0174361936660623,9.52661716403729e-06
3078,50,0.0133333333333333,4.90530612244898,0.616981618117315,-0.0791801510248113,0.1,0.1,2.44,0.00422518124564362,"small","unknown",0.490032275340289,1.78181068173674e-05,0.0139779773139252,9.79075751918721e-06
3078,50,0.0133333333333333,4.90530612244898,0.616981618117315,-0.0791801510248113,0.1,0.1,2.44,0.00422518124564362,"big","unknown",0.490032275340289,1.78181068173674e-05,0.0139779773139252,9.79075751918721e-06
3387,50,0.0576190476190476,4.66530612244898,0.59098036801514,-0.062423500611995,0.1,0.1,2.48,0.00935250907919314,"small","unknown",0.486704701571851,1.72803074778208e-05,0.00810835288551059,9.21622265240523e-06
3387,50,0.0576190476190476,4.66530612244898,0.59098036801514,-0.062423500611995,0.1,0.1,2.48,0.00935250907919314,"big","unknown",0.486704701571851,1.72803074778208e-05,0.00810835288551059,9.21622265240523e-06
3390,50,0.078,5.03918367346939,0.559706070526952,-0.0121951219512195,0.1,0.1,2.44,0.00262954424564652,"small","unknown",0.477727960736093,1.78403232381416e-05,0.010947753524308,9.77969544640116e-06
3390,50,0.078,5.03918367346939,0.559706070526952,-0.0121951219512195,0.1,0.1,2.44,0.00262954424564652,"big","unknown",0.477727960736093,1.78403232381416e-05,0.010947753524308,9.77969544640116e-06
3680,50,0.0133333333333333,4.42530612244898,0.588669530085007,-0.216044831145849,0.1,0.1,2.48,0.0230200703536744,"small","unknown",0.496382684730813,1.90951333622213e-05,0.0108537789565912,1.1152689879756e-05
3680,50,0.0133333333333333,4.42530612244898,0.588669530085007,-0.216044831145849,0.1,0.1,2.48,0.0230200703536744,"big","unknown",0.496382684730813,1.90951333622213e-05,0.0108537789565912,1.1152689879756e-05
