"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","rep_id_old","density","path_type","ass_type","exp_type","size_type","mean_mean","mean_sd","sd_mean","sd_sd"
"72",1640,50,0,3.41632653061225,0.56954258362871,-0.297859477124183,0.1,2,2.77613631122833,1640,0.255754966306499,"small","unknown","unknown","unknown",0.486009260975364,2.64031123652116e-05,0.0195993698247257,1.02267801144025e-05
"73",1651,50,0,3.44897959183673,0.519546732901826,-0.329648774884315,0.1,2,2.7563101610135,1652,0.231944385076253,"small","unknown","unknown","unknown",0.493432843840421,2.7090533809457e-05,0.0126171394707289,1.04309918941665e-05
"74",1718,50,0,4.08408163265306,0.5656729876386,-0.203745954263278,0.1,2,2.79425899251076,1718,1.53522476106738,"unknown","big","unknown","unknown",0.498221899576409,2.5267335046219e-05,0.0112806068564229,1.08133705643342e-05
"75",1731,50,0,4.00897959183673,0.534064501162802,-0.2191106870943,0.1,2,3.02768644082063,1731,0.739278904805359,"unknown","unknown","big","unknown",0.491593109477164,2.45040386236169e-05,0.0179692419687453,1.04285971297953e-05
"76",1732,50,0,4.89142857142857,0.616439423372817,-0.299528059915872,0.1,2,2.76829781174718,1732,0.589217324702166,"big","unknown","unknown","unknown",0.50065732231648,2.52321584827325e-05,0.0145826230193553,1.08564273057823e-05
"77",1758,50,0,3.97061224489796,0.484843545370375,-0.244885479208361,0.1,2,2.66295267862018,1758,0.659125681946171,"unknown","unknown","small","unknown",0.507490226901344,2.58051220442008e-05,0.0217731967339468,1.09700761097817e-05
"78",1765,50,0,4.01142857142857,0.496596101587422,-0.244132631754781,0.1,2,2.611311968961,1765,0.367203396643067,"unknown","unknown","small","unknown",0.49915074798691,2.59082907619882e-05,0.0300019755821119,1.08605920977807e-05
"79",1771,50,0,3.33959183673469,0.51641729694511,-0.332033725363836,0.1,2,2.7147520373398,1771,0.067357836532585,"small","unknown","unknown","unknown",0.489874247975154,2.72452458625901e-05,0.00404804403966589,1.02622304306386e-05
"80",1813,50,0,4.91673469387755,0.553349659538194,-0.317649789449252,0.1,2,2.78881745505806,1812,0.67281622571141,"big","unknown","unknown","unknown",0.50412266933607,2.51655865806727e-05,0.0129715031629637,1.05650755707073e-05
"81",1839,50,0,4.96734693877551,0.59600454666996,-0.305321604591678,0.1,2,2.75628888731292,1839,0.471825730940325,"big","unknown","unknown","unknown",0.497455036390405,2.49286150582213e-05,0.00686820559040852,1.08189742290084e-05
"82",1849,50,0,3.39918367346939,0.533013795449532,-0.303418803418804,0.1,2,2.73629026560402,1849,0.127083513002733,"small","unknown","unknown","unknown",0.535274940641635,2.69731085135626e-05,0.00796659222509403,1.05693291060928e-05
"83",1899,50,0,4.42367346938776,0.585595023616247,-0.318007787151201,0.1,2,2.82326560904387,1899,1.34784130158375,"unknown","unknown","unknown","small",0.490831025553847,2.58199454013608e-05,0.0154784224105706,1.08945121866664e-05
