"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","path_type","exp_type","size_type","neigh_type","clus_type","ass_type","inter_var","mean_intra_var","std_intra_var"
69,"Random",50,0.0207142857142857,4.40163265306122,0.506081875960433,-0.184223955675439,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0164981818468984,2.25065452461466,0.0253634637509467
70,"Random",50,0.0106666666666667,4.40244897959184,0.547975827796927,-0.00757726819541376,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0225369709443195,2.24676563346674,0.0346556770776809
71,"Random",50,0.0385714285714286,4.41061224489796,0.561748435661223,-0.179138755980861,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0143278994901809,2.25040297578288,0.0224726326246582
72,"Random",50,0.0233333333333333,4.41714285714286,0.521701440059587,-0.100361237631538,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0187307383309895,2.25140597266406,0.0287764753509708
73,"Random",50,0.0166666666666667,4.41714285714286,0.625447721888862,-0.161075422317393,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0188364828216753,2.250666181837,0.0272411210159837
74,"Random",50,0.018,4.41877551020408,0.598300526233344,-0.0179830240253201,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0194257285263152,2.240605434045,0.0236994769767815
75,"Random",50,0.0339047619047619,4.42285714285714,0.502853869088513,-0.0305711987127917,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0179083185595778,2.25271116499206,0.0302741687548425
76,"Random",50,0.0393333333333333,4.42285714285714,0.585638203772062,-0.041365725541694,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0183852807149868,2.23386500219638,0.0275736056535089
77,"Random",50,0.028,4.42367346938776,0.553619496824536,-0.122804552479978,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0219313409014969,2.2095278124229,0.0462932517476079
78,"Random",50,0.012,4.42367346938776,0.561898290843484,-0.0560140474100088,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0157272805761685,2.22240947765198,0.0292390134628469
79,"Random",50,0.0533333333333333,4.42367346938776,0.559586348568013,-0.01915380217267,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0258682627662469,2.17915775555024,0.0513632828849324
80,"Random",50,0.012,4.42612244897959,0.536776005755992,-0.105480480480481,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0144366819057776,2.25327082739618,0.0230114770756922
81,"Random",50,0.0566666666666667,4.43510204081633,0.492157664381873,-0.0580204778156997,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0238733465044652,2.24220239733617,0.067474774276281
82,"Random",50,0.0253333333333333,4.43836734693878,0.572194135790412,-0.151113076809671,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0148856404493627,2.25472891469128,0.0217167780176119
