"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","connection_prob","rewire","inter_var","mean_intra_var","std_intra_var"
754,"Scalefree",300,0,"5.51852842809365",0.55559285617961,-0.133039907863069,3.19284562055721,"With (weak)",1.99333333333333,NA,NA,0.0203338054566322,1.92459080582912,0.0844387210280659
755,"Scalefree",300,0,"6.1990635451505",0.544554232580186,-0.224272655422837,2.97038600744645,"With (weak)",1.99333333333333,NA,NA,0.0214912258829382,1.91196488845591,0.0760768775204871
756,"Scalefree",300,0,"6.73821627647715",0.554274707594873,-0.25930477029023,3.08059797379939,"With (weak)",1.99333333333333,NA,NA,0.0229025923701428,1.93810453389131,0.0767136838702592
757,"Scalefree",300,0,"5.71148272017837",0.563405773121561,-0.108637782094349,3.15325578864729,"With (weak)",1.99333333333333,NA,NA,0.0237002043927329,1.96496029893555,0.0956708839479923
758,"Scalefree",300,0,"5.88042363433668",0.57877117627296,-0.176835392772886,3.13684681612541,"With (weak)",1.99333333333333,NA,NA,0.0211656506194822,1.97251639903162,0.0874661313320828
759,"Scalefree",300,0,"5.86862876254181",0.548720768109345,-0.20747709957225,3.1380945887895,"With (weak)",1.99333333333333,NA,NA,0.0219192927040121,1.9638953528528,0.100847166624788
760,"Scalefree",300,0,"6.02254180602007",0.569483963768103,-0.239183477135362,3.09785517869579,"With (weak)",1.99333333333333,NA,NA,0.0219363982349536,1.96725588957269,0.0766713115023236
761,"Scalefree",300,0,"5.68570791527313",0.600045313142589,-0.132665722452726,3.25130840249268,"With (weak)",1.99333333333333,NA,NA,0.0269975997685806,1.94991360278011,0.114292973964096
762,"Scalefree",300,0,"6.05855072463768",0.564440378624843,-0.228886449416714,3.0781021528331,"With (weak)",1.99333333333333,NA,NA,0.025763836614091,1.93560402144252,0.0891168092262628
763,"Scalefree",300,0,"4.90648829431438",0.548299471139681,-0.14287381847374,3.29559222574796,"With (weak)",1.99333333333333,NA,NA,0.0194490482759963,1.87838361492033,0.10875149974363
764,"Scalefree",300,0,"5.66829431438127",0.545248396676883,-0.223183659934301,2.98752755669236,"With (weak)",1.99333333333333,NA,NA,0.024776040197454,1.96723688859442,0.110676575109996
765,"Scalefree",300,0,"6.18",0.538632213964641,-0.189353115008916,3.18534509688492,"With (weak)",1.99333333333333,NA,NA,0.020069963853682,1.94452089337248,0.0846057128252549
766,"Scalefree",300,0,"5.75005574136009",0.585536481651571,-0.14404593686909,3.24172728356483,"With (weak)",1.99333333333333,NA,NA,0.0223488411577284,1.92777364684986,0.0910838685650581
767,"Scalefree",300,0,"4.83658862876254",0.580876099468549,-0.168474082501024,3.2311952129182,"With (weak)",1.99333333333333,NA,NA,0.0220693438374717,1.91891265969801,0.0960645912812634
768,"Scalefree",300,0,"6.01099219620959",0.558166799482723,-0.210937944278967,3.05866805588142,"With (weak)",1.99333333333333,NA,NA,0.0280333267046497,1.96504669290449,0.0989504982147722
769,"Scalefree",300,0,"4.96851727982163",0.556830536475859,-0.145956812288914,3.14492422643075,"With (weak)",1.99333333333333,NA,NA,0.0227839592545317,1.94372628253132,0.0895440194199322
