"utterance","init_lang_exp","percent_bias","utt_biased","level_bias","metric_biased","size_net","mean_cond","std_cond","network_type","rewire"
4,"With (weak)",20,7,"Lowest","Clustering",150,0.347744514955412,0.0585599918370728,"Scalefree",NA
4,"With (weak)",20,7,"Lowest","Degree",150,0.353658083485935,0.0586067467676028,"Scalefree",NA
4,"With (weak)",20,7,"Random","No biased agents",150,0.340543179904405,0.0614355975096568,"Scalefree",NA
4,"With (strong)",0,NA,"None","No biased agents",150,0.698852698893896,0.0402146632649473,"Scalefree",NA
4,"With (strong)",20,7,"Highest","Betweenness c.",150,0.595735104109134,0.0463213960879237,"Scalefree",NA
4,"With (strong)",20,7,"Highest","Closeness c.",150,0.616528920649615,0.0706535381728782,"Scalefree",NA
4,"With (strong)",20,7,"Highest","Eigenvector c.",150,0.620625101957866,0.0718290328208064,"Scalefree",NA
4,"With (strong)",20,7,"Highest","Clustering",150,0.634402123261789,0.0521664771473333,"Scalefree",NA
4,"With (strong)",20,7,"Highest","Degree",150,0.596085541367997,0.0480561218118954,"Scalefree",NA
4,"With (strong)",20,7,"Lowest","Betweenness c.",150,0.647404466743136,0.0498584564530523,"Scalefree",NA
4,"With (strong)",20,7,"Lowest","Closeness c.",150,0.645791679093678,0.0747082114507418,"Scalefree",NA
4,"With (strong)",20,7,"Lowest","Eigenvector c.",150,0.645999486887662,0.0779034504468899,"Scalefree",NA
4,"With (strong)",20,7,"Lowest","Clustering",150,0.631574444742809,0.0536468051170733,"Scalefree",NA
4,"With (strong)",20,7,"Lowest","Degree",150,0.646399000516332,0.0485676193671607,"Scalefree",NA
4,"With (strong)",20,7,"Random","No biased agents",150,0.637712918214524,0.0533561697957611,"Scalefree",NA
5,"Without",0,NA,"None","No biased agents",150,0.0987741909779917,0.0411352476353776,"Scalefree",NA
5,"Without",20,7,"Highest","Betweenness c.",150,0.0718702280605303,0.0313524896564978,"Scalefree",NA
5,"Without",20,7,"Highest","Closeness c.",150,0.076405583651612,0.0360816396319453,"Scalefree",NA
5,"Without",20,7,"Highest","Eigenvector c.",150,0.0786094279014686,0.0380584119243762,"Scalefree",NA
5,"Without",20,7,"Highest","Clustering",150,0.0830119016520135,0.0361658856027845,"Scalefree",NA
5,"Without",20,7,"Highest","Degree",150,0.0702975196385752,0.0310492025663839,"Scalefree",NA
5,"Without",20,7,"Lowest","Betweenness c.",150,0.0871700941139284,0.0388232348321169,"Scalefree",NA
5,"Without",20,7,"Lowest","Closeness c.",150,0.0875187882220349,0.0403700330666819,"Scalefree",NA
5,"Without",20,7,"Lowest","Eigenvector c.",150,0.0867570053306237,0.0420199744700288,"Scalefree",NA
5,"Without",20,7,"Lowest","Clustering",150,0.0834718733667921,0.0370313125394449,"Scalefree",NA
5,"Without",20,7,"Lowest","Degree",150,0.0873440108571839,0.0370510672890557,"Scalefree",NA
5,"Without",20,7,"Random","No biased agents",150,0.0808960076197117,0.035801114907974,"Scalefree",NA
5,"With (weak)",0,NA,"None","No biased agents",150,0.0655406629540263,0.0274798932031997,"Scalefree",NA
5,"With (weak)",20,7,"Highest","Betweenness c.",150,0.0501684759073928,0.0231845309297316,"Scalefree",NA
5,"With (weak)",20,7,"Highest","Closeness c.",150,0.0541435268501762,0.0262589694998352,"Scalefree",NA
5,"With (weak)",20,7,"Highest","Eigenvector c.",150,0.0546390975226827,0.0269685046407195,"Scalefree",NA
5,"With (weak)",20,7,"Highest","Clustering",150,0.0567595382641742,0.0260870097937433,"Scalefree",NA
5,"With (weak)",20,7,"Highest","Degree",150,0.0517643764458726,0.0239963317892403,"Scalefree",NA
5,"With (weak)",20,7,"Lowest","Betweenness c.",150,0.0582841882473875,0.025785702905088,"Scalefree",NA
5,"With (weak)",20,7,"Lowest","Closeness c.",150,0.0594513079790414,0.0284266925860668,"Scalefree",NA
5,"With (weak)",20,7,"Lowest","Eigenvector c.",150,0.0596776395233509,0.0289224020769806,"Scalefree",NA
5,"With (weak)",20,7,"Lowest","Clustering",150,0.058151314979425,0.0273569036506253,"Scalefree",NA
5,"With (weak)",20,7,"Lowest","Degree",150,0.061196157730469,0.0288740198653045,"Scalefree",NA
5,"With (weak)",20,7,"Random","No biased agents",150,0.0559434655390034,0.0258470925707032,"Scalefree",NA
5,"With (strong)",0,NA,"None","No biased agents",150,0.0336039708476425,0.0157743891353959,"Scalefree",NA
5,"With (strong)",20,7,"Highest","Betweenness c.",150,0.0287140792671779,0.0137695698091946,"Scalefree",NA
5,"With (strong)",20,7,"Highest","Closeness c.",150,0.0298211945730302,0.0147842480127702,"Scalefree",NA
5,"With (strong)",20,7,"Highest","Eigenvector c.",150,0.0295659443684731,0.0148466713051858,"Scalefree",NA
5,"With (strong)",20,7,"Highest","Clustering",150,0.030094067176173,0.0145130522163725,"Scalefree",NA
5,"With (strong)",20,7,"Highest","Degree",150,0.0281502993275691,0.0140145315576213,"Scalefree",NA
5,"With (strong)",20,7,"Lowest","Betweenness c.",150,0.0315859053282701,0.0149921272593855,"Scalefree",NA
5,"With (strong)",20,7,"Lowest","Closeness c.",150,0.0306104108398255,0.0148499763644319,"Scalefree",NA
5,"With (strong)",20,7,"Lowest","Eigenvector c.",150,0.0313414467836736,0.0155514102615465,"Scalefree",NA
5,"With (strong)",20,7,"Lowest","Clustering",150,0.0305028600598592,0.0144916647199853,"Scalefree",NA
5,"With (strong)",20,7,"Lowest","Degree",150,0.0311677542970244,0.0154229045490114,"Scalefree",NA
5,"With (strong)",20,7,"Random","No biased agents",150,0.0316123199917935,0.0155201067356714,"Scalefree",NA
6,"Without",0,NA,"None","No biased agents",150,0.100778668911616,0.042546814208233,"Scalefree",NA
6,"Without",20,7,"Highest","Betweenness c.",150,0.0720032339944641,0.0304987873127107,"Scalefree",NA
6,"Without",20,7,"Highest","Closeness c.",150,0.0789912123761905,0.0389443069338851,"Scalefree",NA
6,"Without",20,7,"Highest","Eigenvector c.",150,0.0765712573375774,0.0360733323455676,"Scalefree",NA
6,"Without",20,7,"Highest","Clustering",150,0.0815508533327615,0.0368357082956563,"Scalefree",NA
6,"Without",20,7,"Highest","Degree",150,0.0695832005734412,0.0307080301583682,"Scalefree",NA
6,"Without",20,7,"Lowest","Betweenness c.",150,0.0847460944065898,0.0380298303450303,"Scalefree",NA
6,"Without",20,7,"Lowest","Closeness c.",150,0.0870995590769691,0.039715585826596,"Scalefree",NA
6,"Without",20,7,"Lowest","Eigenvector c.",150,0.0878735230167687,0.0419376654442307,"Scalefree",NA
6,"Without",20,7,"Lowest","Clustering",150,0.0808162531713056,0.0366653815679953,"Scalefree",NA
6,"Without",20,7,"Lowest","Degree",150,0.0840357449033464,0.0376862622200344,"Scalefree",NA
6,"Without",20,7,"Random","No biased agents",150,0.0839772718558515,0.0364127299980789,"Scalefree",NA
6,"With (weak)",0,NA,"None","No biased agents",150,0.0656601222853185,0.0293520614079356,"Scalefree",NA
6,"With (weak)",20,7,"Highest","Betweenness c.",150,0.0511213252628837,0.0228507027847893,"Scalefree",NA
6,"With (weak)",20,7,"Highest","Closeness c.",150,0.054580986388574,0.0268003608399068,"Scalefree",NA
6,"With (weak)",20,7,"Highest","Eigenvector c.",150,0.0541628308399009,0.0260492076812009,"Scalefree",NA
6,"With (weak)",20,7,"Highest","Clustering",150,0.0561041750236015,0.0263643739791872,"Scalefree",NA
6,"With (weak)",20,7,"Highest","Degree",150,0.0503283594195535,0.0223825210899328,"Scalefree",NA
6,"With (weak)",20,7,"Lowest","Betweenness c.",150,0.0598625597022698,0.0282920719350582,"Scalefree",NA
6,"With (weak)",20,7,"Lowest","Closeness c.",150,0.0576749585012946,0.0278538143956001,"Scalefree",NA
6,"With (weak)",20,7,"Lowest","Eigenvector c.",150,0.057243019893099,0.0273210653735206,"Scalefree",NA
6,"With (weak)",20,7,"Lowest","Clustering",150,0.0563627696930455,0.025438789139997,"Scalefree",NA
6,"With (weak)",20,7,"Lowest","Degree",150,0.0586203976348423,0.0265320514697353,"Scalefree",NA
6,"With (weak)",20,7,"Random","No biased agents",150,0.0563543618901431,0.0251434592371087,"Scalefree",NA
6,"With (strong)",0,NA,"None","No biased agents",150,0.0336961993320284,0.0154982119972473,"Scalefree",NA
6,"With (strong)",20,7,"Highest","Betweenness c.",150,0.0275816533372827,0.0132458534806836,"Scalefree",NA
6,"With (strong)",20,7,"Highest","Closeness c.",150,0.0295123059735721,0.0146089921407595,"Scalefree",NA
6,"With (strong)",20,7,"Highest","Eigenvector c.",150,0.0295458026506812,0.0146260464247806,"Scalefree",NA
6,"With (strong)",20,7,"Highest","Clustering",150,0.0300332781200068,0.0147722126881936,"Scalefree",NA
6,"With (strong)",20,7,"Highest","Degree",150,0.0280902395266348,0.0132342665160554,"Scalefree",NA
6,"With (strong)",20,7,"Lowest","Betweenness c.",150,0.030694390809251,0.0147948915462573,"Scalefree",NA
6,"With (strong)",20,7,"Lowest","Closeness c.",150,0.030191941206654,0.0148384166874066,"Scalefree",NA
6,"With (strong)",20,7,"Lowest","Eigenvector c.",150,0.0313471456368139,0.0161072871385603,"Scalefree",NA
6,"With (strong)",20,7,"Lowest","Clustering",150,0.0311063073260943,0.0155089557552929,"Scalefree",NA
6,"With (strong)",20,7,"Lowest","Degree",150,0.031266737050293,0.0157672032439294,"Scalefree",NA
6,"With (strong)",20,7,"Random","No biased agents",150,0.0307887002303453,0.0147644861089674,"Scalefree",NA
7,"Without",0,NA,"None","No biased agents",150,0.10088180994443,0.0418383514502873,"Scalefree",NA
7,"Without",20,7,"Highest","Betweenness c.",150,0.363381803769936,0.0740379904132058,"Scalefree",NA
7,"Without",20,7,"Highest","Closeness c.",150,0.311151705197147,0.137962111247844,"Scalefree",NA
7,"Without",20,7,"Highest","Eigenvector c.",150,0.299791057519845,0.148809430804721,"Scalefree",NA
7,"Without",20,7,"Highest","Clustering",150,0.265109676656718,0.0921214693598283,"Scalefree",NA
7,"Without",20,7,"Highest","Degree",150,0.371699126565833,0.0787145350380272,"Scalefree",NA
