"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","mean_lang","inter_var","mean_intra_var","std_intra_var"
479,"Small-world",50,0.240571428571429,"3.10285714285714",0.553193735821633,-0.0559921414538312,NA,"With (strong)",4,0.502150448020577,8.9388230319441e-06,0.00517212040049774,2.48244939618196e-06
480,"Small-world",50,0.198,"3.03020408163265",0.520380806177098,-0.0711692084241106,NA,"With (strong)",4,0.495156604658016,8.9991179958839e-06,0.00449575674081072,2.71180771794896e-06
481,"Small-world",50,0.153333333333333,"3.02204081632653",0.53445464343593,0.00716145833333327,NA,"With (strong)",4,0.508329976209188,8.71031316382459e-06,0.00360338582093013,1.99934518551212e-06
482,"Small-world",50,0.299619047619048,"3.35836734693878",0.521014929143082,0.0680272108843538,NA,"With (strong)",4,0.51273718562174,8.96658962463774e-06,0.00561730542218455,2.60696111801995e-06
483,"Small-world",50,0.179333333333333,"3.11020408163265",0.48581294161864,0.118558698179001,NA,"With (strong)",4,0.507878328293867,8.9546851543355e-06,0.0068751773412837,2.64275601244826e-06
484,"Small-world",50,0.266666666666667,"3.23102040816327",0.453385886634481,-0.215508827965575,NA,"With (strong)",4,0.510584903022289,8.91026341914645e-06,0.00851215016519349,2.34037801574343e-06
485,"Small-world",50,0.158,"3.10448979591837",0.538837384698234,-0.17975117975118,NA,"With (strong)",4,0.500978301701117,8.92135990608569e-06,0.00284925838408941,2.60137817597335e-06
486,"Small-world",50,0.253333333333333,"3.21224489795918",0.457331512389537,-0.0478843347924127,NA,"With (strong)",4,0.524675892895631,8.76585483284861e-06,0.00413760526372695,2.10325196775392e-06
487,"Small-world",50,0.194761904761905,"3.08244897959184",0.499652594538626,-0.0455935699551889,NA,"With (strong)",4,0.491724047485651,8.90471093385846e-06,0.00638781438857916,2.29457756848737e-06
488,"Small-world",50,0.274285714285714,"3.18122448979592",0.501445377923518,-0.0413625304136253,NA,"With (strong)",4,0.518442714409486,8.9277080342003e-06,0.00686042582967665,2.60029983952638e-06
489,"Small-world",50,0.253333333333333,"3.13551020408163",0.498199212446825,-0.197368421052631,NA,"With (strong)",4,0.506444344012712,8.82139033160443e-06,0.00651980823362607,2.33947190968861e-06
490,"Small-world",50,0.254,"3.18122448979592",0.567771966977388,-0.0664360858913387,NA,"With (strong)",4,0.482398750697394,8.81028150412882e-06,0.00392408169048274,2.33238106403323e-06
491,"Small-world",50,0.250666666666667,"3.22204081632653",0.464262718025089,0.00154689917029968,NA,"With (strong)",4,0.499806407293964,8.71031439800163e-06,0.00428483547678059,1.96760328228271e-06
492,"Small-world",50,0.241333333333333,"3.25387755102041",0.495538436095676,-0.151898734177215,NA,"With (strong)",4,0.485045538274062,8.81028273830585e-06,0.00920355862240992,2.30522942061888e-06
