"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","path_type","exp_type","size_type","neigh_type","clus_type","ass_type","mean_lang","inter_var","mean_intra_var","std_intra_var"
714,"Scalefree",50,0,4.02367346938775,0.667250679877055,-0.214734636871508,2.62808958145538,"With (strong)",2,"None","Low","None",NA,NA,"None",0.5019368063636,2.54931144567094e-05,0.00784334246369666,1.09626023820919e-05
719,"Scalefree",50,0,4.4530612244898,0.555774278337354,-0.264176861987551,2.87325020543984,"With (strong)",2,"None","None","Low",NA,NA,"None",0.499412253522861,2.5011138537426e-05,0.0134435260108468,1.07003769134834e-05
749,"Scalefree",50,0,3.99020408163265,0.588809587025636,-0.208630433634395,2.76096599383183,"With (strong)",2,"None","None","None",NA,NA,"High",0.505913273834584,2.53228705449748e-05,0.0143598910966681,1.07753516070997e-05
788,"Scalefree",50,0,3.37469387755102,0.466017407636748,-0.309818181818182,2.73202710025034,"With (strong)",2,"Low","None","None",NA,NA,"None",0.518194576473704,2.71229236783046e-05,0.0130052385858793,1.0430865490446e-05
808,"Scalefree",50,0,3.91510204081633,0.558522568741984,-0.427794481782808,2.77613631122833,"With (strong)",2,"None","None","None",NA,NA,"Low",0.515514643831685,2.63718587600606e-05,0.0127898169300309,1.02887954119986e-05
815,"Scalefree",50,0,3.42040816326531,0.535676384365359,-0.328289190911651,2.72604960977325,"With (strong)",2,"Low","None","None",NA,NA,"None",0.467324203579931,2.73783354045847e-05,0.0159723720722279,1.04531805304711e-05
825,"Scalefree",50,0,4.48163265306122,0.522200065892607,-0.329779500848074,2.87635071795655,"With (strong)",2,"None","None","Low",NA,NA,"None",0.492953695341547,2.4687230336532e-05,0.0198426521178085,1.0677315672007e-05
887,"Scalefree",50,0,4.4269387755102,0.628257381286689,-0.333906554185594,2.8048209393224,"With (strong)",2,"None","None","Low",NA,NA,"None",0.502913696193551,2.56272164923234e-05,0.0215497311765282,1.07577337520133e-05
930,"Scalefree",50,0,4.4130612244898,0.580125750903773,-0.32951048951049,2.82754089586971,"With (strong)",2,"None","None","Low",NA,NA,"None",0.493394408213317,2.52050193174557e-05,0.0125194552528211,1.05139495302761e-05
978,"Scalefree",50,0,3.92489795918367,0.524216490768983,-0.211959924859111,2.64069174561356,"With (strong)",2,"None","Low","None",NA,NA,"None",0.504478691886288,2.57477352302083e-05,0.016682669154664,1.10118364820721e-05
1004,"Scalefree",50,0,3.99918367346939,0.620836727188413,-0.450099695665862,2.7563101610135,"With (strong)",2,"None","None","None",NA,NA,"Low",0.499564991030961,2.6977585870772e-05,0.0110663898934104,1.06538332250398e-05
1026,"Scalefree",50,0,3.99428571428571,0.599919620502146,-0.224640867780709,3.08158076045744,"With (strong)",2,"None","High","None",NA,NA,"None",0.518781267298908,2.48292871347669e-05,0.0214680315051817,1.01666677624058e-05
1028,"Scalefree",50,0,4.4065306122449,0.573928882266547,-0.309748427672956,2.83842651415201,"With (strong)",2,"None","None","Low",NA,NA,"None",0.517692704051908,2.52941207040427e-05,0.0251969381599384,1.04311327106939e-05
1044,"Scalefree",50,0,4.06612244897959,0.606212389328179,-0.221708758731865,2.60567385843682,"With (strong)",2,"None","Low","None",NA,NA,"None",0.497733450556798,2.57477385626735e-05,0.0149405664059769,1.09963816187742e-05
1055,"Scalefree",50,0,3.49714285714286,0.484682406709047,-0.334572651420172,2.78811714341092,"With (strong)",2,"Low","None","None",NA,NA,"None",0.495846000810234,2.68684473314268e-05,0.0165577827866953,1.03531739421293e-05
1060,"Scalefree",50,0,4.0669387755102,0.591089971605521,-0.287567567567568,3.0243762057585,"With (strong)",2,"None","High","None",NA,NA,"None",0.502841825823419,2.53131666627681e-05,0.00937293470578585,1.03920359219585e-05
1075,"Scalefree",50,0,3.90448979591837,0.499473870065297,-0.294731186194254,2.65286990051962,"With (strong)",2,"None","Low","None",NA,NA,"None",0.474772061109954,2.63157540344495e-05,0.0102951700015268,1.07271723764685e-05
1079,"Scalefree",50,0,4.00734693877551,0.583037200775814,-0.0818019397651863,2.79633212000653,"With (strong)",2,"None","None","None",NA,NA,"High",0.480003401739405,2.48508631386912e-05,0.0104659113512224,1.0879414157782e-05
1091,"Scalefree",50,0,4.40979591836735,0.565162252085353,-0.344947344835312,2.88081308479655,"With (strong)",2,"None","None","Low",NA,NA,"None",0.507864093768587,2.56203630049984e-05,0.0253372449768336,1.07707339833343e-05
1095,"Scalefree",50,0,4.84571428571429,0.6028537580695,-0.299610609066196,2.82540635576277,"With (strong)",2,"High","None","None",NA,NA,"None",0.484898489938475,2.46158156848029e-05,0.0236999763095336,1.07785762935171e-05
1114,"Scalefree",50,0,4.01061224489796,0.568144118175329,-0.50422339889057,2.76921892904151,"With (strong)",2,"None","None","None",NA,NA,"Low",0.506832093510237,2.69980267329464e-05,0.0153337516667543,1.02562115453504e-05
1126,"Scalefree",50,0,3.38612244897959,0.538753621034968,-0.277810334284549,2.73876651857725,"With (strong)",2,"Low","None","None",NA,NA,"None",0.483589058558645,2.65929946649002e-05,0.0106376012573675,1.03574052036853e-05
1155,"Scalefree",50,0,4.05877551020408,0.55050195114461,-0.27303533968049,2.66014307756674,"With (strong)",2,"None","Low","None",NA,NA,"None",0.492213806157867,2.58384472924507e-05,0.0174216918896455,1.09275470311853e-05
1220,"Scalefree",50,0,3.85061224489796,0.547535011654464,-0.468120041617896,2.77232809678189,"With (strong)",2,"None","None","None",NA,NA,"Low",0.514956079567879,2.72534414214282e-05,0.025993626443204,1.02673586348818e-05
1225,"Scalefree",50,0,4.46204081632653,0.564226621286134,-0.318466642093624,2.82857696214551,"With (strong)",2,"None","None","Low",NA,NA,"None",0.48620214208852,2.47890411990821e-05,0.0225575640767585,1.06323361966502e-05
1228,"Scalefree",50,0,4.39673469387755,0.536050017002658,-0.320872274143302,2.88081308479655,"With (strong)",2,"None","None","Low",NA,NA,"None",0.501003738451174,2.56311841715803e-05,0.0123414770311738,1.07508114280265e-05
1266,"Scalefree",50,0,3.91265306122449,0.555373958218619,-0.190921449650187,2.78881745505806,"With (strong)",2,"None","None","None",NA,NA,"High",0.505996425293999,2.51655865806727e-05,0.0161442956915458,1.05650755707073e-05
1289,"Scalefree",50,0,4.0734693877551,0.568019644828957,-0.256832437275986,2.59812852393959,"With (strong)",2,"None","Low","None",NA,NA,"None",0.495358704170368,2.60565660912239e-05,0.0152655810859319,1.10294091360731e-05
1292,"Scalefree",50,0,4.45469387755102,0.566424605709931,-0.310549777117385,2.86390673400076,"With (strong)",2,"None","None","Low",NA,NA,"None",0.50698533742706,2.52940482798711e-05,0.00972344145663263,1.07795131431194e-05
1295,"Scalefree",50,0,4.43591836734694,0.57455521050697,-0.318853813375076,2.81167812095038,"With (strong)",2,"None","None","Low",NA,NA,"None",0.488755518589636,2.56264201397542e-05,0.0131202371350232,1.07724695954112e-05
1311,"Scalefree",50,0,3.42367346938776,0.568174761770334,-0.322357150601757,2.83195044021359,"With (strong)",2,"Low","None","None",NA,NA,"None",0.469921744274823,2.70683173886828e-05,0.0128235577734906,1.04614283362843e-05
1340,"Scalefree",50,0,4.45632653061224,0.557073063531897,-0.336283185840708,2.80204386962822,"With (strong)",2,"None","None","Low",NA,NA,"None",0.495478703210697,2.60793278138106e-05,0.0115750202681537,1.09259403481416e-05
1344,"Scalefree",50,0,5.02612244897959,0.528104183946531,-0.307291666666667,2.82772374290283,"With (strong)",2,"High","None","None",NA,NA,"None",0.509760667135215,2.49897130694329e-05,0.0218455728833814,1.07365997859047e-05
1371,"Scalefree",50,0,4.00408163265306,0.577937424965847,-0.241362314554684,2.62897990313445,"With (strong)",2,"None","Low","None",NA,NA,"None",0.489066061867943,2.60650305833588e-05,0.0102339848199054,1.10141536425927e-05
1376,"Scalefree",50,0,5.04408163265306,0.582479490061442,-0.323813199536858,2.72021810506168,"With (strong)",2,"High","None","None",NA,NA,"None",0.508088237551981,2.53042853693996e-05,0.0211484615174307,1.11294915279122e-05
1381,"Scalefree",50,0,3.98530612244898,0.643262817590681,-0.288715556774977,2.65119940876562,"With (strong)",2,"None","Low","None",NA,NA,"None",0.532697502517973,2.59543122664672e-05,0.00839645143904309,1.07963813674432e-05
1397,"Scalefree",50,0,3.91755102040816,0.634077055120619,-0.256010354998197,2.99612540814829,"With (strong)",2,"None","High","None",NA,NA,"None",0.472623631785645,2.50680781483049e-05,0.0129975301505361,1.02633957655835e-05
1402,"Scalefree",50,0,3.33714285714286,0.541027663623707,-0.296442004236738,2.78811714341092,"With (strong)",2,"Low","None","None",NA,NA,"None",0.510106893336575,2.68684473314268e-05,0.0178194184235209,1.03531739421293e-05
1407,"Scalefree",50,0,4.09632653061225,0.589879691766321,-0.427168791802577,2.79033898086883,"With (strong)",2,"None","None","None",NA,NA,"Low",0.526198081804172,2.66907084490699e-05,0.0216025087262073,1.06270336481472e-05
1417,"Scalefree",50,0,3.49387755102041,0.605196952882454,-0.277745977230808,2.83179291198872,"With (strong)",2,"Low","None","None",NA,NA,"None",0.470754110040727,2.65703694604835e-05,0.0121665074908768,1.0703925445098e-05
1465,"Scalefree",50,0,4.43510204081633,0.544503016871897,-0.347348951911221,2.89736576280968,"With (strong)",2,"None","None","Low",NA,NA,"None",0.48769915724903,2.55259459158051e-05,0.0166120385462232,1.08694799597548e-05
1510,"Scalefree",50,0,4.14775510204082,0.556054828122814,-0.441636582430806,2.81083656792734,"With (strong)",2,"None","None","None",NA,NA,"Low",0.494256142269214,2.63765495345692e-05,0.0157252209503135,1.06235814698838e-05
1545,"Scalefree",50,0,4.83510204081633,0.573045090539951,-0.27742924857103,2.75296751437967,"With (strong)",2,"High","None","None",NA,NA,"None",0.500149181353494,2.4755654263571e-05,0.0101842907611435,1.09635773125273e-05
1569,"Scalefree",50,0,3.90040816326531,0.481007749202878,-0.18454380072768,2.8019141014325,"With (strong)",2,"None","None","None",NA,NA,"High",0.514313921548988,2.5281355356107e-05,0.0269971733288504,1.07839219499259e-05
1609,"Scalefree",50,0,5.25224489795918,0.541200990525172,-0.279232523393882,2.83066940405902,"With (strong)",2,"High","None","None",NA,NA,"None",0.495140460045227,2.42493329610112e-05,0.0146410784132186,1.07558737019437e-05
1640,"Scalefree",50,0,3.41632653061225,0.56954258362871,-0.297859477124183,2.77613631122833,"With (strong)",2,"Low","None","None",NA,NA,"None",0.486009260975364,2.64031123652116e-05,0.0195993698247257,1.02267801144025e-05
1651,"Scalefree",50,0,3.44897959183673,0.519546732901826,-0.329648774884315,2.7563101610135,"With (strong)",2,"Low","None","None",NA,NA,"None",0.493432843840421,2.7090533809457e-05,0.0126171394707289,1.04309918941665e-05
1718,"Scalefree",50,0,4.08408163265306,0.5656729876386,-0.203745954263278,2.79425899251076,"With (strong)",2,"None","None","None",NA,NA,"High",0.498221899576409,2.5267335046219e-05,0.0112806068564229,1.08133705643342e-05
1731,"Scalefree",50,0,4.00897959183673,0.534064501162802,-0.2191106870943,3.02768644082063,"With (strong)",2,"None","High","None",NA,NA,"None",0.491593109477164,2.45040386236169e-05,0.0179692419687453,1.04285971297953e-05
1732,"Scalefree",50,0,4.89142857142857,0.616439423372817,-0.299528059915872,2.76829781174718,"With (strong)",2,"High","None","None",NA,NA,"None",0.50065732231648,2.52321584827325e-05,0.0145826230193553,1.08564273057823e-05
1758,"Scalefree",50,0,3.97061224489796,0.484843545370375,-0.244885479208361,2.66295267862018,"With (strong)",2,"None","Low","None",NA,NA,"None",0.507490226901344,2.58051220442008e-05,0.0217731967339468,1.09700761097817e-05
1765,"Scalefree",50,0,4.01142857142857,0.496596101587422,-0.244132631754781,2.611311968961,"With (strong)",2,"None","Low","None",NA,NA,"None",0.49915074798691,2.59082907619882e-05,0.0300019755821119,1.08605920977807e-05
1771,"Scalefree",50,0,3.33959183673469,0.51641729694511,-0.332033725363836,2.7147520373398,"With (strong)",2,"Low","None","None",NA,NA,"None",0.489874247975154,2.72452458625901e-05,0.00404804403966589,1.02622304306386e-05
1813,"Scalefree",50,0,4.91673469387755,0.553349659538194,-0.317649789449252,2.78881745505806,"With (strong)",2,"High","None","None",NA,NA,"None",0.50412266933607,2.51655865806727e-05,0.0129715031629637,1.05650755707073e-05
1839,"Scalefree",50,0,4.96734693877551,0.59600454666996,-0.305321604591678,2.75628888731292,"With (strong)",2,"High","None","None",NA,NA,"None",0.497455036390405,2.49286150582213e-05,0.00686820559040852,1.08189742290084e-05
1849,"Scalefree",50,0,3.39918367346939,0.533013795449532,-0.303418803418804,2.73629026560402,"With (strong)",2,"Low","None","None",NA,NA,"None",0.535274940641635,2.69731085135626e-05,0.00796659222509403,1.05693291060928e-05
1899,"Scalefree",50,0,4.42367346938776,0.585595023616247,-0.318007787151201,2.82326560904387,"With (strong)",2,"None","None","Low",NA,NA,"None",0.490831025553847,2.58199454013608e-05,0.0154784224105706,1.08945121866664e-05
1925,"Scalefree",50,0,4.03265306122449,0.549048841565326,-0.487464957949539,2.77075054106199,"With (strong)",2,"None","None","None",NA,NA,"Low",0.502918707917291,2.71214883273794e-05,0.0179499415984563,1.04560352071806e-05
2084,"Scalefree",50,0,4.4734693877551,0.607246347603287,-0.296614191915197,2.8228822535336,"With (strong)",2,"None","None","Low",NA,NA,"None",0.485151982219085,2.53213163933651e-05,0.0138366641281389,1.07359344748438e-05
2097,"Scalefree",50,0,3.96326530612245,0.564242571856869,-0.240875912408759,3.02864569472721,"With (strong)",2,"None","High","None",NA,NA,"None",0.501464201993779,2.51179562517673e-05,0.00823539632682814,1.05386756902638e-05
2100,"Scalefree",50,0,3.96408163265306,0.505755248752337,-0.287643638694318,3.06030223430809,"With (strong)",2,"None","High","None",NA,NA,"None",0.497743636280231,2.49995431409923e-05,0.0184867679784738,1.03135230825351e-05
2208,"Scalefree",50,0,4.05795918367347,0.585928106795189,-0.25405220952056,3.15157108652141,"With (strong)",2,"None","High","None",NA,NA,"None",0.517677612836225,2.49953488392062e-05,0.0165195402969565,1.03347426810476e-05
2276,"Scalefree",50,0,4.89224489795918,0.549941346862931,-0.311876958131587,2.71175980314297,"With (strong)",2,"High","None","None",NA,NA,"None",0.488761201262348,2.47212686528656e-05,0.0109754651867695,1.10150649404791e-05
2279,"Scalefree",50,0,4.39102040816327,0.661512979822854,-0.317770397864166,2.88559808036473,"With (strong)",2,"None","None","Low",NA,NA,"None",0.494838780509386,2.51989118289225e-05,0.0089470875620924,1.05229763536995e-05
2280,"Scalefree",50,0,4.03020408163265,0.564306980027284,-0.278174326833797,2.99697873396693,"With (strong)",2,"None","High","None",NA,NA,"None",0.496975298955601,2.53697906959225e-05,0.0139681875893056,1.03184885520928e-05
2295,"Scalefree",50,0,4.04408163265306,0.52471653376198,-0.242871844542648,2.62777929655584,"With (strong)",2,"None","Low","None",NA,NA,"None",0.492657839085545,2.5298800741641e-05,0.0113388276198234,1.08127603197161e-05
2318,"Scalefree",50,0,4.07265306122449,0.547770207997264,-0.204940029574457,2.79318377246332,"With (strong)",2,"None","None","None",NA,NA,"High",0.504468337366351,2.54830733961346e-05,0.0122365861739591,1.09312497375753e-05
2321,"Scalefree",50,0,3.85061224489796,0.517732119565886,-0.481062631081137,2.79634257801933,"With (strong)",2,"None","None","None",NA,NA,"Low",0.492082461981469,2.66101045241092e-05,0.022032598089638,1.03470877971977e-05
2336,"Scalefree",50,0,3.99591836734694,0.504423781119198,-0.196200993159009,2.76385424510489,"With (strong)",2,"None","None","None",NA,NA,"High",0.513418617721405,2.53257832615643e-05,0.0179561862580865,1.07557398318099e-05
2338,"Scalefree",50,0,3.93142857142857,0.636349763247095,-0.429425226065898,2.78592949487482,"With (strong)",2,"None","None","None",NA,NA,"Low",0.502219212893449,2.68937836356511e-05,0.0140823926263167,1.03836546540476e-05
2344,"Scalefree",50,0,3.92,0.537273469718596,-0.254129935550781,2.56014231038675,"With (strong)",2,"None","Low","None",NA,NA,"None",0.49671872260439,2.59698942558135e-05,0.00865371711735095,1.07695777911874e-05
2381,"Scalefree",50,0,3.91020408163265,0.506047297474869,-0.211622807017544,3.00914153619891,"With (strong)",2,"None","High","None",NA,NA,"None",0.514744242285461,2.50243754054222e-05,0.0119209813846963,1.06239375219958e-05
2407,"Scalefree",50,0,3.26367346938776,0.495912068296175,-0.335183037932748,2.77594450771378,"With (strong)",2,"Low","None","None",NA,NA,"None",0.517266418421681,2.72655161215689e-05,0.00607271857254378,1.02203620473199e-05
2459,"Scalefree",50,0,4.45795918367347,0.563461198626658,-0.278892181445179,2.80864568375285,"With (strong)",2,"None","None","Low",NA,NA,"None",0.505301837868741,2.52014837400915e-05,0.012765671588823,1.08676348260428e-05
2478,"Scalefree",50,0,3.91102040816327,0.620783823199873,-0.266102456560815,3.06291722000736,"With (strong)",2,"None","High","None",NA,NA,"None",0.513286796493835,2.55458287609522e-05,0.0057873168437362,1.05079690509561e-05
2504,"Scalefree",50,0,5.19918367346939,0.582263430564198,-0.322120017520806,2.73460010094099,"With (strong)",2,"High","None","None",NA,NA,"None",0.49631925486038,2.46538325407072e-05,0.0108516115369996,1.10571213652456e-05
2526,"Scalefree",50,0,3.99183673469388,0.60740074118988,-0.105882352941176,2.81416689712713,"With (strong)",2,"None","None","None",NA,NA,"High",0.484696639149511,2.46462336162512e-05,0.023383682138713,1.07328665645799e-05
2543,"Scalefree",50,0,4.88571428571429,0.559446361675635,-0.308916604616531,2.7859503832415,"With (strong)",2,"High","None","None",NA,NA,"None",0.511979628735539,2.41763343363969e-05,0.0237645703375313,1.08414119651156e-05
2551,"Scalefree",50,0,4.40979591836735,0.543214767767694,-0.297716894977169,2.82230584324607,"With (strong)",2,"None","None","Low",NA,NA,"None",0.490794689583818,2.49397238856969e-05,0.0122473102237141,1.08036063785923e-05
2594,"Scalefree",50,0,4.05469387755102,0.580230102276574,-0.278664142779881,2.6392190164702,"With (strong)",2,"None","Low","None",NA,NA,"None",0.474788103571047,2.63062354442861e-05,0.0182188562415806,1.07261764286646e-05
2685,"Scalefree",50,0,4.42775510204082,0.569785099631987,-0.280124167308651,2.8815656999424,"With (strong)",2,"None","None","Low",NA,NA,"None",0.50782175331265,2.51402058681178e-05,0.0122220000856167,1.05489323732378e-05
2711,"Scalefree",50,0,3.96408163265306,0.564434485080773,-0.470204081632653,2.77075054106199,"With (strong)",2,"None","None","None",NA,NA,"Low",0.503599848877838,2.71725160776476e-05,0.0229454165041745,1.03515560648196e-05
2723,"Scalefree",50,0,4.11183673469388,0.567245567158147,-0.201063149086972,2.79036555094781,"With (strong)",2,"None","None","None",NA,NA,"High",0.512547482090901,2.49963259171765e-05,0.00461805084090074,1.07252045330282e-05
2742,"Scalefree",50,0,4.37551020408163,0.610630633079058,-0.288143856293713,2.87408975145039,"With (strong)",2,"None","None","Low",NA,NA,"None",0.487869145223819,2.55478883747978e-05,0.0169766063373743,1.07750026432517e-05
2757,"Scalefree",50,0,3.9469387755102,0.530955912663189,-0.224793109272082,3.04256530809107,"With (strong)",2,"None","High","None",NA,NA,"None",0.513250611457249,2.46123412188621e-05,0.0183591082336777,1.03181162155714e-05
2776,"Scalefree",50,0,4.05387755102041,0.603797402372474,-0.479554223508337,2.80689165888196,"With (strong)",2,"None","None","None",NA,NA,"Low",0.525473555067341,2.68361756606506e-05,0.0141487362893759,1.04213017964529e-05
2808,"Scalefree",50,0,4.09224489795918,0.537946045174982,-0.20381888294564,2.66137512290028,"With (strong)",2,"None","Low","None",NA,NA,"None",0.490727404069583,2.57059454898236e-05,0.0224468062507197,1.1068689520155e-05
2823,"Scalefree",50,0,3.45224489795918,0.641399729020882,-0.323003677929208,2.83835812400436,"With (strong)",2,"Low","None","None",NA,NA,"None",0.494496720159695,2.69675621985428e-05,0.00566976243481679,1.05391374988147e-05
2843,"Scalefree",50,0,4.11428571428571,0.569704169480939,-0.199233549623307,2.81641816292356,"With (strong)",2,"None","None","None",NA,NA,"High",0.503394804362033,2.49088121650944e-05,0.0151298033297456,1.07979534959764e-05
2877,"Scalefree",50,0,3.94775510204082,0.521712328188546,-0.284241335728065,3.02591594062631,"With (strong)",2,"None","High","None",NA,NA,"None",0.485045640269495,2.58684106163402e-05,0.0172015341349355,1.05251798589112e-05
2922,"Scalefree",50,0,3.91755102040816,0.522060428657482,-0.199919710959454,2.78490272663691,"With (strong)",2,"None","None","None",NA,NA,"High",0.505839469940657,2.55930948915044e-05,0.0188109087577706,1.08149418307428e-05
2958,"Scalefree",50,0,4.04571428571429,0.558608855336312,-0.257582037996546,3.00374019538485,"With (strong)",2,"None","High","None",NA,NA,"None",0.499225835681405,2.50199610473033e-05,0.0242235956464748,1.03480748090014e-05
2970,"Scalefree",50,0,3.89877551020408,0.554392782711627,-0.467461023990505,2.78592949487482,"With (strong)",2,"None","None","None",NA,NA,"Low",0.505892309322422,2.69134213260914e-05,0.00601241867153175,1.03502489747401e-05
2973,"Scalefree",50,0,3.90530612244898,0.588910301513032,-0.240596753814754,2.54823216537781,"With (strong)",2,"None","Low","None",NA,NA,"None",0.498787680459912,2.61290302450949e-05,0.0190243905082411,1.09588593404069e-05
2983,"Scalefree",50,0,3.93224489795918,0.548958416154719,-0.443515902122287,2.78592949487482,"With (strong)",2,"None","None","None",NA,NA,"Low",0.488100127290076,2.68975276992918e-05,0.0102154684081914,1.03754266440539e-05
2985,"Scalefree",50,0,4.05387755102041,0.552092567046822,-0.190510218665142,2.81294996039343,"With (strong)",2,"None","None","None",NA,NA,"High",0.500408707624535,2.50426042328481e-05,0.0119314372398606,1.07005289915987e-05
2997,"Scalefree",50,0,4.08,0.565631849334399,-0.287965320305512,3.11699782317063,"With (strong)",2,"None","High","None",NA,NA,"None",0.515420826518324,2.54659325178269e-05,0.0175272933423818,1.05183053030807e-05
